AddressID,Person,OrdinalNumber,IsDefaultFaxNumber,FaxCountry,FaxNumber,FaxNumberExtension,InternationalFaxNumber,AddressCommunicationRemarkText
r-10739695,r-10739695,695,false,695,FaxNumber-10739695,n-10739695,nternationalFaxNumber-10739695,AddressCommunicationRemarkText-10739695
r-10739696,r-10739696,696,true,696,FaxNumber-10739696,n-10739696,nternationalFaxNumber-10739696,AddressCommunicationRemarkText-10739696
r-10739697,r-10739697,697,false,697,FaxNumber-10739697,n-10739697,nternationalFaxNumber-10739697,AddressCommunicationRemarkText-10739697
r-10739698,r-10739698,698,true,698,FaxNumber-10739698,n-10739698,nternationalFaxNumber-10739698,AddressCommunicationRemarkText-10739698
r-10739699,r-10739699,699,false,699,FaxNumber-10739699,n-10739699,nternationalFaxNumber-10739699,AddressCommunicationRemarkText-10739699
r-10739700,r-10739700,700,true,700,FaxNumber-10739700,n-10739700,nternationalFaxNumber-10739700,AddressCommunicationRemarkText-10739700
r-10739701,r-10739701,701,false,701,FaxNumber-10739701,n-10739701,nternationalFaxNumber-10739701,AddressCommunicationRemarkText-10739701
r-10739702,r-10739702,702,true,702,FaxNumber-10739702,n-10739702,nternationalFaxNumber-10739702,AddressCommunicationRemarkText-10739702
r-10739703,r-10739703,703,false,703,FaxNumber-10739703,n-10739703,nternationalFaxNumber-10739703,AddressCommunicationRemarkText-10739703
r-10739704,r-10739704,704,true,704,FaxNumber-10739704,n-10739704,nternationalFaxNumber-10739704,AddressCommunicationRemarkText-10739704
r-10739705,r-10739705,705,false,705,FaxNumber-10739705,n-10739705,nternationalFaxNumber-10739705,AddressCommunicationRemarkText-10739705
r-10739706,r-10739706,706,true,706,FaxNumber-10739706,n-10739706,nternationalFaxNumber-10739706,AddressCommunicationRemarkText-10739706
r-10739707,r-10739707,707,false,707,FaxNumber-10739707,n-10739707,nternationalFaxNumber-10739707,AddressCommunicationRemarkText-10739707
r-10739708,r-10739708,708,true,708,FaxNumber-10739708,n-10739708,nternationalFaxNumber-10739708,AddressCommunicationRemarkText-10739708
r-10739709,r-10739709,709,false,709,FaxNumber-10739709,n-10739709,nternationalFaxNumber-10739709,AddressCommunicationRemarkText-10739709
