BusinessPartner,AddressID,Person,OrdinalNumber,EmailAddress,IsDefaultEmailAddress,ValidityStartDate,ValidityEndDate
l-16923378,l-16923378,l-16923378,378,EmailAddress-16923378,true,2014-01-16,2010-06-03
l-16923379,l-16923379,l-16923379,379,EmailAddress-16923379,false,2005-08-21,2016-12-30
l-16923380,l-16923380,l-16923380,380,EmailAddress-16923380,true,2002-08-08,2013-11-30
l-16923381,l-16923381,l-16923381,381,EmailAddress-16923381,false,2005-02-26,2016-08-26
l-16923382,l-16923382,l-16923382,382,EmailAddress-16923382,true,2020-04-29,2008-05-18
l-16923383,l-16923383,l-16923383,383,EmailAddress-16923383,false,2006-04-19,2012-01-22
l-16923384,l-16923384,l-16923384,384,EmailAddress-16923384,true,2022-10-26,2008-11-03
l-16923385,l-16923385,l-16923385,385,EmailAddress-16923385,false,2012-12-04,2011-01-08
l-16923386,l-16923386,l-16923386,386,EmailAddress-16923386,true,2001-06-20,2019-01-17
l-16923387,l-16923387,l-16923387,387,EmailAddress-16923387,false,2019-04-07,2022-08-29
l-16923388,l-16923388,l-16923388,388,EmailAddress-16923388,true,2018-04-29,2018-09-28
l-16923389,l-16923389,l-16923389,389,EmailAddress-16923389,false,2003-12-18,2009-04-09
l-16923390,l-16923390,l-16923390,390,EmailAddress-16923390,true,2020-07-11,2014-05-30
l-16923391,l-16923391,l-16923391,391,EmailAddress-16923391,false,2021-01-08,2003-11-22
l-16923392,l-16923392,l-16923392,392,EmailAddress-16923392,true,2019-08-21,2023-12-01
l-16923393,l-16923393,l-16923393,393,EmailAddress-16923393,false,2002-06-11,2012-10-03
l-16923394,l-16923394,l-16923394,394,EmailAddress-16923394,true,2008-06-18,2015-01-16
l-16923395,l-16923395,l-16923395,395,EmailAddress-16923395,false,2004-09-01,2021-02-25
l-16923396,l-16923396,l-16923396,396,EmailAddress-16923396,true,2013-08-14,2007-05-25
l-16923397,l-16923397,l-16923397,397,EmailAddress-16923397,false,2022-06-08,2013-11-17
l-16923398,l-16923398,l-16923398,398,EmailAddress-16923398,true,2010-09-01,2008-11-27
l-16923399,l-16923399,l-16923399,399,EmailAddress-16923399,false,2013-05-22,2009-10-16
l-16923400,l-16923400,l-16923400,400,EmailAddress-16923400,true,2002-05-16,2014-07-10
l-16923401,l-16923401,l-16923401,401,EmailAddress-16923401,false,2008-09-08,2019-05-01
l-16923402,l-16923402,l-16923402,402,EmailAddress-16923402,true,2023-02-18,2006-08-21
l-16923403,l-16923403,l-16923403,403,EmailAddress-16923403,false,2000-04-20,2003-07-12
l-16923404,l-16923404,l-16923404,404,EmailAddress-16923404,true,2018-09-05,2010-07-05
l-16923405,l-16923405,l-16923405,405,EmailAddress-16923405,false,2008-10-28,2000-06-05
l-16923406,l-16923406,l-16923406,406,EmailAddress-16923406,true,2015-12-06,2005-06-15
l-16923407,l-16923407,l-16923407,407,EmailAddress-16923407,false,2014-07-26,2015-12-19
l-16923408,l-16923408,l-16923408,408,EmailAddress-16923408,true,2000-09-22,2019-09-23
l-16923409,l-16923409,l-16923409,409,EmailAddress-16923409,false,2009-02-14,2021-03-17
l-16923410,l-16923410,l-16923410,410,EmailAddress-16923410,true,2011-08-25,2018-04-09
l-16923411,l-16923411,l-16923411,411,EmailAddress-16923411,false,2010-03-28,2020-01-21
l-16923412,l-16923412,l-16923412,412,EmailAddress-16923412,true,2004-11-02,2008-04-03
l-16923413,l-16923413,l-16923413,413,EmailAddress-16923413,false,2012-08-06,2018-12-27
l-16923414,l-16923414,l-16923414,414,EmailAddress-16923414,true,2023-04-01,2005-01-12
l-16923415,l-16923415,l-16923415,415,EmailAddress-16923415,false,2009-12-21,2022-02-09
l-16923416,l-16923416,l-16923416,416,EmailAddress-16923416,true,2004-05-06,2016-09-29
l-16923417,l-16923417,l-16923417,417,EmailAddress-16923417,false,2013-05-05,2005-07-23
l-16923418,l-16923418,l-16923418,418,EmailAddress-16923418,true,2002-02-21,2005-06-15
l-16923419,l-16923419,l-16923419,419,EmailAddress-16923419,false,2022-11-12,2011-02-22
l-16923420,l-16923420,l-16923420,420,EmailAddress-16923420,true,2023-12-01,2019-06-01
