BusinessPartner,AddressID,Person,OrdinalNumber,FaxCountry,FaxAreaCodeSubscriberNumber,FaxNumberExtension,InternationalFaxNumber,IsDefaultFaxNumber,ValidityEndDate,ValidityStartDate
x-22430248,x-22430248,x-22430248,248,248,aCodeSubscriberNumber-22430248,n-22430248,nternationalFaxNumber-22430248,true,2021-06-22,2010-05-15
x-22430249,x-22430249,x-22430249,249,249,aCodeSubscriberNumber-22430249,n-22430249,nternationalFaxNumber-22430249,false,2005-03-12,2014-04-29
x-22430250,x-22430250,x-22430250,250,250,aCodeSubscriberNumber-22430250,n-22430250,nternationalFaxNumber-22430250,true,2023-08-09,2023-09-27
x-22430251,x-22430251,x-22430251,251,251,aCodeSubscriberNumber-22430251,n-22430251,nternationalFaxNumber-22430251,false,2006-07-19,2009-07-10
x-22430252,x-22430252,x-22430252,252,252,aCodeSubscriberNumber-22430252,n-22430252,nternationalFaxNumber-22430252,true,2010-01-08,2011-03-13
x-22430253,x-22430253,x-22430253,253,253,aCodeSubscriberNumber-22430253,n-22430253,nternationalFaxNumber-22430253,false,2006-09-19,2005-03-11
x-22430254,x-22430254,x-22430254,254,254,aCodeSubscriberNumber-22430254,n-22430254,nternationalFaxNumber-22430254,true,2002-04-10,2016-06-17
x-22430255,x-22430255,x-22430255,255,255,aCodeSubscriberNumber-22430255,n-22430255,nternationalFaxNumber-22430255,false,2017-11-17,2000-04-16
x-22430256,x-22430256,x-22430256,256,256,aCodeSubscriberNumber-22430256,n-22430256,nternationalFaxNumber-22430256,true,2000-07-07,2022-03-07
x-22430257,x-22430257,x-22430257,257,257,aCodeSubscriberNumber-22430257,n-22430257,nternationalFaxNumber-22430257,false,2007-09-23,2019-06-14
x-22430258,x-22430258,x-22430258,258,258,aCodeSubscriberNumber-22430258,n-22430258,nternationalFaxNumber-22430258,true,2018-02-26,2002-10-06
x-22430259,x-22430259,x-22430259,259,259,aCodeSubscriberNumber-22430259,n-22430259,nternationalFaxNumber-22430259,false,2001-09-04,2008-04-27
x-22430260,x-22430260,x-22430260,260,260,aCodeSubscriberNumber-22430260,n-22430260,nternationalFaxNumber-22430260,true,2023-02-07,2014-03-28
x-22430261,x-22430261,x-22430261,261,261,aCodeSubscriberNumber-22430261,n-22430261,nternationalFaxNumber-22430261,false,2022-10-25,2000-01-29
x-22430262,x-22430262,x-22430262,262,262,aCodeSubscriberNumber-22430262,n-22430262,nternationalFaxNumber-22430262,true,2007-09-01,2004-09-26
x-22430263,x-22430263,x-22430263,263,263,aCodeSubscriberNumber-22430263,n-22430263,nternationalFaxNumber-22430263,false,2019-03-14,2020-07-21
x-22430264,x-22430264,x-22430264,264,264,aCodeSubscriberNumber-22430264,n-22430264,nternationalFaxNumber-22430264,true,2022-12-03,2019-01-31
x-22430265,x-22430265,x-22430265,265,265,aCodeSubscriberNumber-22430265,n-22430265,nternationalFaxNumber-22430265,false,2002-08-18,2011-12-22
x-22430266,x-22430266,x-22430266,266,266,aCodeSubscriberNumber-22430266,n-22430266,nternationalFaxNumber-22430266,true,2014-05-11,2000-03-25
x-22430267,x-22430267,x-22430267,267,267,aCodeSubscriberNumber-22430267,n-22430267,nternationalFaxNumber-22430267,false,2011-08-06,2014-11-14
x-22430268,x-22430268,x-22430268,268,268,aCodeSubscriberNumber-22430268,n-22430268,nternationalFaxNumber-22430268,true,2016-10-28,2023-03-11
x-22430269,x-22430269,x-22430269,269,269,aCodeSubscriberNumber-22430269,n-22430269,nternationalFaxNumber-22430269,false,2019-10-29,2016-02-20
x-22430270,x-22430270,x-22430270,270,270,aCodeSubscriberNumber-22430270,n-22430270,nternationalFaxNumber-22430270,true,2012-04-29,2020-08-27
x-22430271,x-22430271,x-22430271,271,271,aCodeSubscriberNumber-22430271,n-22430271,nternationalFaxNumber-22430271,false,2008-12-26,2019-10-13
x-22430272,x-22430272,x-22430272,272,272,aCodeSubscriberNumber-22430272,n-22430272,nternationalFaxNumber-22430272,true,2004-11-18,2000-12-05
x-22430273,x-22430273,x-22430273,273,273,aCodeSubscriberNumber-22430273,n-22430273,nternationalFaxNumber-22430273,false,2018-12-11,2012-01-27
x-22430274,x-22430274,x-22430274,274,274,aCodeSubscriberNumber-22430274,n-22430274,nternationalFaxNumber-22430274,true,2013-03-26,2023-04-23
