BusinessPartner,AddressID,Person,OrdinalNumber,InternationalPhoneNumber,IsDefaultPhoneNumber,MobilePhoneCountry,MobilePhoneNumber,PhoneNumberExtension,PhoneNumberType,ValidityStartDate,ValidityEndDate
e-11391311,e-11391311,e-11391311,311,ernationalPhoneNumber-11391311,false,311,MobilePhoneNumber-11391311,n-11391311,1,2006-08-03,2016-05-07
e-11391312,e-11391312,e-11391312,312,ernationalPhoneNumber-11391312,true,312,MobilePhoneNumber-11391312,n-11391312,2,2004-10-07,2020-01-07
e-11391313,e-11391313,e-11391313,313,ernationalPhoneNumber-11391313,false,313,MobilePhoneNumber-11391313,n-11391313,3,2011-09-05,2005-04-22
e-11391314,e-11391314,e-11391314,314,ernationalPhoneNumber-11391314,true,314,MobilePhoneNumber-11391314,n-11391314,4,2022-08-14,2018-01-08
e-11391315,e-11391315,e-11391315,315,ernationalPhoneNumber-11391315,false,315,MobilePhoneNumber-11391315,n-11391315,5,2005-11-23,2015-11-03
e-11391316,e-11391316,e-11391316,316,ernationalPhoneNumber-11391316,true,316,MobilePhoneNumber-11391316,n-11391316,6,2020-04-03,2020-02-14
e-11391317,e-11391317,e-11391317,317,ernationalPhoneNumber-11391317,false,317,MobilePhoneNumber-11391317,n-11391317,7,2014-03-23,2008-01-04
e-11391318,e-11391318,e-11391318,318,ernationalPhoneNumber-11391318,true,318,MobilePhoneNumber-11391318,n-11391318,8,2002-09-14,2000-07-14
e-11391319,e-11391319,e-11391319,319,ernationalPhoneNumber-11391319,false,319,MobilePhoneNumber-11391319,n-11391319,9,2022-02-06,2021-06-26
e-11391320,e-11391320,e-11391320,320,ernationalPhoneNumber-11391320,true,320,MobilePhoneNumber-11391320,n-11391320,0,2021-05-01,2005-01-28
e-11391321,e-11391321,e-11391321,321,ernationalPhoneNumber-11391321,false,321,MobilePhoneNumber-11391321,n-11391321,1,2014-09-24,2023-09-22
e-11391322,e-11391322,e-11391322,322,ernationalPhoneNumber-11391322,true,322,MobilePhoneNumber-11391322,n-11391322,2,2019-07-17,2002-06-17
e-11391323,e-11391323,e-11391323,323,ernationalPhoneNumber-11391323,false,323,MobilePhoneNumber-11391323,n-11391323,3,2010-05-10,2009-04-22
e-11391324,e-11391324,e-11391324,324,ernationalPhoneNumber-11391324,true,324,MobilePhoneNumber-11391324,n-11391324,4,2018-06-18,2012-04-22
e-11391325,e-11391325,e-11391325,325,ernationalPhoneNumber-11391325,false,325,MobilePhoneNumber-11391325,n-11391325,5,2011-10-31,2020-08-14
e-11391326,e-11391326,e-11391326,326,ernationalPhoneNumber-11391326,true,326,MobilePhoneNumber-11391326,n-11391326,6,2015-10-29,2011-02-04
e-11391327,e-11391327,e-11391327,327,ernationalPhoneNumber-11391327,false,327,MobilePhoneNumber-11391327,n-11391327,7,2019-03-28,2021-12-28
e-11391328,e-11391328,e-11391328,328,ernationalPhoneNumber-11391328,true,328,MobilePhoneNumber-11391328,n-11391328,8,2016-04-19,2004-09-04
e-11391329,e-11391329,e-11391329,329,ernationalPhoneNumber-11391329,false,329,MobilePhoneNumber-11391329,n-11391329,9,2015-04-02,2019-09-19
e-11391330,e-11391330,e-11391330,330,ernationalPhoneNumber-11391330,true,330,MobilePhoneNumber-11391330,n-11391330,0,2000-06-19,2005-01-10
e-11391331,e-11391331,e-11391331,331,ernationalPhoneNumber-11391331,false,331,MobilePhoneNumber-11391331,n-11391331,1,2022-06-20,2002-02-08
e-11391332,e-11391332,e-11391332,332,ernationalPhoneNumber-11391332,true,332,MobilePhoneNumber-11391332,n-11391332,2,2006-08-03,2014-08-30
e-11391333,e-11391333,e-11391333,333,ernationalPhoneNumber-11391333,false,333,MobilePhoneNumber-11391333,n-11391333,3,2007-04-20,2021-05-25
e-11391334,e-11391334,e-11391334,334,ernationalPhoneNumber-11391334,true,334,MobilePhoneNumber-11391334,n-11391334,4,2021-10-14,2014-02-10
e-11391335,e-11391335,e-11391335,335,ernationalPhoneNumber-11391335,false,335,MobilePhoneNumber-11391335,n-11391335,5,2006-01-21,2016-11-04
e-11391336,e-11391336,e-11391336,336,ernationalPhoneNumber-11391336,true,336,MobilePhoneNumber-11391336,n-11391336,6,2013-04-13,2023-09-27
e-11391337,e-11391337,e-11391337,337,ernationalPhoneNumber-11391337,false,337,MobilePhoneNumber-11391337,n-11391337,7,2000-03-08,2019-11-20
e-11391338,e-11391338,e-11391338,338,ernationalPhoneNumber-11391338,true,338,MobilePhoneNumber-11391338,n-11391338,8,2017-10-06,2001-01-25
e-11391339,e-11391339,e-11391339,339,ernationalPhoneNumber-11391339,false,339,MobilePhoneNumber-11391339,n-11391339,9,2001-01-15,2011-07-18
e-11391340,e-11391340,e-11391340,340,ernationalPhoneNumber-11391340,true,340,MobilePhoneNumber-11391340,n-11391340,0,2000-02-22,2018-09-15
e-11391341,e-11391341,e-11391341,341,ernationalPhoneNumber-11391341,false,341,MobilePhoneNumber-11391341,n-11391341,1,2010-03-25,2000-04-26
e-11391342,e-11391342,e-11391342,342,ernationalPhoneNumber-11391342,true,342,MobilePhoneNumber-11391342,n-11391342,2,2012-07-27,2000-08-30
e-11391343,e-11391343,e-11391343,343,ernationalPhoneNumber-11391343,false,343,MobilePhoneNumber-11391343,n-11391343,3,2009-03-18,2013-12-25
e-11391344,e-11391344,e-11391344,344,ernationalPhoneNumber-11391344,true,344,MobilePhoneNumber-11391344,n-11391344,4,2013-08-18,2023-12-03
e-11391345,e-11391345,e-11391345,345,ernationalPhoneNumber-11391345,false,345,MobilePhoneNumber-11391345,n-11391345,5,2003-06-25,2017-07-15
e-11391346,e-11391346,e-11391346,346,ernationalPhoneNumber-11391346,true,346,MobilePhoneNumber-11391346,n-11391346,6,2013-11-20,2001-03-23
e-11391347,e-11391347,e-11391347,347,ernationalPhoneNumber-11391347,false,347,MobilePhoneNumber-11391347,n-11391347,7,2019-09-04,2018-12-21
e-11391348,e-11391348,e-11391348,348,ernationalPhoneNumber-11391348,true,348,MobilePhoneNumber-11391348,n-11391348,8,2006-11-05,2016-07-09
e-11391349,e-11391349,e-11391349,349,ernationalPhoneNumber-11391349,false,349,MobilePhoneNumber-11391349,n-11391349,9,2009-01-20,2012-03-19
e-11391350,e-11391350,e-11391350,350,ernationalPhoneNumber-11391350,true,350,MobilePhoneNumber-11391350,n-11391350,0,2016-09-03,2018-03-01
e-11391351,e-11391351,e-11391351,351,ernationalPhoneNumber-11391351,false,351,MobilePhoneNumber-11391351,n-11391351,1,2011-05-30,2005-07-22
e-11391352,e-11391352,e-11391352,352,ernationalPhoneNumber-11391352,true,352,MobilePhoneNumber-11391352,n-11391352,2,2003-06-12,2004-09-27
e-11391353,e-11391353,e-11391353,353,ernationalPhoneNumber-11391353,false,353,MobilePhoneNumber-11391353,n-11391353,3,2017-08-14,2017-07-07
e-11391354,e-11391354,e-11391354,354,ernationalPhoneNumber-11391354,true,354,MobilePhoneNumber-11391354,n-11391354,4,2014-06-25,2005-01-28
e-11391355,e-11391355,e-11391355,355,ernationalPhoneNumber-11391355,false,355,MobilePhoneNumber-11391355,n-11391355,5,2005-08-01,2010-07-10
e-11391356,e-11391356,e-11391356,356,ernationalPhoneNumber-11391356,true,356,MobilePhoneNumber-11391356,n-11391356,6,2014-05-18,2014-03-06
e-11391357,e-11391357,e-11391357,357,ernationalPhoneNumber-11391357,false,357,MobilePhoneNumber-11391357,n-11391357,7,2000-04-09,2018-12-15
e-11391358,e-11391358,e-11391358,358,ernationalPhoneNumber-11391358,true,358,MobilePhoneNumber-11391358,n-11391358,8,2001-07-19,2015-07-27
