BusinessPartner,AddressID,Person,OrdinalNumber,DestinationLocationCountry,InternationalPhoneNumber,IsDefaultPhoneNumber,PhoneNumber,PhoneNumberExtension,PhoneNumberType,ValidityStartDate,ValidityEndDate
e-23481684,e-23481684,e-23481684,684,684,ernationalPhoneNumber-23481684,true,PhoneNumber-23481684,n-23481684,4,2014-10-23,2018-08-29
e-23481685,e-23481685,e-23481685,685,685,ernationalPhoneNumber-23481685,false,PhoneNumber-23481685,n-23481685,5,2013-07-03,2003-04-30
e-23481686,e-23481686,e-23481686,686,686,ernationalPhoneNumber-23481686,true,PhoneNumber-23481686,n-23481686,6,2022-10-31,2015-10-26
e-23481687,e-23481687,e-23481687,687,687,ernationalPhoneNumber-23481687,false,PhoneNumber-23481687,n-23481687,7,2002-06-04,2022-12-24
e-23481688,e-23481688,e-23481688,688,688,ernationalPhoneNumber-23481688,true,PhoneNumber-23481688,n-23481688,8,2022-11-23,2010-02-03
e-23481689,e-23481689,e-23481689,689,689,ernationalPhoneNumber-23481689,false,PhoneNumber-23481689,n-23481689,9,2007-08-05,2001-09-25
e-23481690,e-23481690,e-23481690,690,690,ernationalPhoneNumber-23481690,true,PhoneNumber-23481690,n-23481690,0,2009-07-09,2000-09-18
e-23481691,e-23481691,e-23481691,691,691,ernationalPhoneNumber-23481691,false,PhoneNumber-23481691,n-23481691,1,2008-09-30,2015-05-09
e-23481692,e-23481692,e-23481692,692,692,ernationalPhoneNumber-23481692,true,PhoneNumber-23481692,n-23481692,2,2014-09-21,2016-03-30
e-23481693,e-23481693,e-23481693,693,693,ernationalPhoneNumber-23481693,false,PhoneNumber-23481693,n-23481693,3,2004-05-07,2018-09-21
e-23481694,e-23481694,e-23481694,694,694,ernationalPhoneNumber-23481694,true,PhoneNumber-23481694,n-23481694,4,2000-04-17,2014-04-14
e-23481695,e-23481695,e-23481695,695,695,ernationalPhoneNumber-23481695,false,PhoneNumber-23481695,n-23481695,5,2015-06-02,2011-09-21
e-23481696,e-23481696,e-23481696,696,696,ernationalPhoneNumber-23481696,true,PhoneNumber-23481696,n-23481696,6,2012-07-04,2000-05-27
e-23481697,e-23481697,e-23481697,697,697,ernationalPhoneNumber-23481697,false,PhoneNumber-23481697,n-23481697,7,2020-11-24,2005-10-21
e-23481698,e-23481698,e-23481698,698,698,ernationalPhoneNumber-23481698,true,PhoneNumber-23481698,n-23481698,8,2010-09-08,2021-12-13
e-23481699,e-23481699,e-23481699,699,699,ernationalPhoneNumber-23481699,false,PhoneNumber-23481699,n-23481699,9,2000-10-25,2003-07-28
