RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultEmailAddress,EmailAddress,SearchEmailAddress
ddr-24989775,r-24989775,r-24989775,2014-05-16,r-24989775,775,false,EmailAddress-24989775,mailAddress-24989775
ddr-24989776,r-24989776,r-24989776,2013-08-09,r-24989776,776,true,EmailAddress-24989776,mailAddress-24989776
ddr-24989777,r-24989777,r-24989777,2014-07-28,r-24989777,777,false,EmailAddress-24989777,mailAddress-24989777
ddr-24989778,r-24989778,r-24989778,2020-08-15,r-24989778,778,true,EmailAddress-24989778,mailAddress-24989778
ddr-24989779,r-24989779,r-24989779,2015-05-13,r-24989779,779,false,EmailAddress-24989779,mailAddress-24989779
ddr-24989780,r-24989780,r-24989780,2003-04-24,r-24989780,780,true,EmailAddress-24989780,mailAddress-24989780
ddr-24989781,r-24989781,r-24989781,2003-05-11,r-24989781,781,false,EmailAddress-24989781,mailAddress-24989781
ddr-24989782,r-24989782,r-24989782,2000-06-09,r-24989782,782,true,EmailAddress-24989782,mailAddress-24989782
ddr-24989783,r-24989783,r-24989783,2014-06-06,r-24989783,783,false,EmailAddress-24989783,mailAddress-24989783
ddr-24989784,r-24989784,r-24989784,2007-04-30,r-24989784,784,true,EmailAddress-24989784,mailAddress-24989784
ddr-24989785,r-24989785,r-24989785,2012-06-17,r-24989785,785,false,EmailAddress-24989785,mailAddress-24989785
ddr-24989786,r-24989786,r-24989786,2006-12-02,r-24989786,786,true,EmailAddress-24989786,mailAddress-24989786
ddr-24989787,r-24989787,r-24989787,2005-10-06,r-24989787,787,false,EmailAddress-24989787,mailAddress-24989787
ddr-24989788,r-24989788,r-24989788,2017-12-31,r-24989788,788,true,EmailAddress-24989788,mailAddress-24989788
ddr-24989789,r-24989789,r-24989789,2006-10-30,r-24989789,789,false,EmailAddress-24989789,mailAddress-24989789
ddr-24989790,r-24989790,r-24989790,2005-10-16,r-24989790,790,true,EmailAddress-24989790,mailAddress-24989790
ddr-24989791,r-24989791,r-24989791,2010-06-07,r-24989791,791,false,EmailAddress-24989791,mailAddress-24989791
ddr-24989792,r-24989792,r-24989792,2007-06-15,r-24989792,792,true,EmailAddress-24989792,mailAddress-24989792
ddr-24989793,r-24989793,r-24989793,2009-11-06,r-24989793,793,false,EmailAddress-24989793,mailAddress-24989793
ddr-24989794,r-24989794,r-24989794,2006-04-29,r-24989794,794,true,EmailAddress-24989794,mailAddress-24989794
ddr-24989795,r-24989795,r-24989795,2002-10-03,r-24989795,795,false,EmailAddress-24989795,mailAddress-24989795
