RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,ContactPersonAuthorityType,ContactPersonDepartment,ContactPersonDepartmentName,ContactPersonFunction,ContactPersonFunctionName,ContactPersonRemarkText,ContactPersonVIPType,EmailAddress,FaxNumber,FaxNumberExtension,PhoneNumber,PhoneNumberExtension,RelationshipCategory
ndDept-92923,Dept-92923,Dept-92923,2005-06-23,3,2923,ContactPersonDepartmentName-92923,2923,ContactPersonFunctionName-92923,ContactPersonRemarkText-92923,3,EmailAddress-92923,FaxNumber-92923,sion-92923,PhoneNumber-92923,sion-92923,-92923
ndDept-92924,Dept-92924,Dept-92924,2013-05-01,4,2924,ContactPersonDepartmentName-92924,2924,ContactPersonFunctionName-92924,ContactPersonRemarkText-92924,4,EmailAddress-92924,FaxNumber-92924,sion-92924,PhoneNumber-92924,sion-92924,-92924
ndDept-92925,Dept-92925,Dept-92925,2011-01-26,5,2925,ContactPersonDepartmentName-92925,2925,ContactPersonFunctionName-92925,ContactPersonRemarkText-92925,5,EmailAddress-92925,FaxNumber-92925,sion-92925,PhoneNumber-92925,sion-92925,-92925
ndDept-92926,Dept-92926,Dept-92926,2002-07-29,6,2926,ContactPersonDepartmentName-92926,2926,ContactPersonFunctionName-92926,ContactPersonRemarkText-92926,6,EmailAddress-92926,FaxNumber-92926,sion-92926,PhoneNumber-92926,sion-92926,-92926
ndDept-92927,Dept-92927,Dept-92927,2021-05-24,7,2927,ContactPersonDepartmentName-92927,2927,ContactPersonFunctionName-92927,ContactPersonRemarkText-92927,7,EmailAddress-92927,FaxNumber-92927,sion-92927,PhoneNumber-92927,sion-92927,-92927
ndDept-92928,Dept-92928,Dept-92928,2021-10-14,8,2928,ContactPersonDepartmentName-92928,2928,ContactPersonFunctionName-92928,ContactPersonRemarkText-92928,8,EmailAddress-92928,FaxNumber-92928,sion-92928,PhoneNumber-92928,sion-92928,-92928
ndDept-92929,Dept-92929,Dept-92929,2000-05-06,9,2929,ContactPersonDepartmentName-92929,2929,ContactPersonFunctionName-92929,ContactPersonRemarkText-92929,9,EmailAddress-92929,FaxNumber-92929,sion-92929,PhoneNumber-92929,sion-92929,-92929
ndDept-92930,Dept-92930,Dept-92930,2000-08-17,0,2930,ContactPersonDepartmentName-92930,2930,ContactPersonFunctionName-92930,ContactPersonRemarkText-92930,0,EmailAddress-92930,FaxNumber-92930,sion-92930,PhoneNumber-92930,sion-92930,-92930
ndDept-92931,Dept-92931,Dept-92931,2015-04-20,1,2931,ContactPersonDepartmentName-92931,2931,ContactPersonFunctionName-92931,ContactPersonRemarkText-92931,1,EmailAddress-92931,FaxNumber-92931,sion-92931,PhoneNumber-92931,sion-92931,-92931
ndDept-92932,Dept-92932,Dept-92932,2001-08-11,2,2932,ContactPersonDepartmentName-92932,2932,ContactPersonFunctionName-92932,ContactPersonRemarkText-92932,2,EmailAddress-92932,FaxNumber-92932,sion-92932,PhoneNumber-92932,sion-92932,-92932
ndDept-92933,Dept-92933,Dept-92933,2009-07-14,3,2933,ContactPersonDepartmentName-92933,2933,ContactPersonFunctionName-92933,ContactPersonRemarkText-92933,3,EmailAddress-92933,FaxNumber-92933,sion-92933,PhoneNumber-92933,sion-92933,-92933
ndDept-92934,Dept-92934,Dept-92934,2017-10-17,4,2934,ContactPersonDepartmentName-92934,2934,ContactPersonFunctionName-92934,ContactPersonRemarkText-92934,4,EmailAddress-92934,FaxNumber-92934,sion-92934,PhoneNumber-92934,sion-92934,-92934
ndDept-92935,Dept-92935,Dept-92935,2022-11-26,5,2935,ContactPersonDepartmentName-92935,2935,ContactPersonFunctionName-92935,ContactPersonRemarkText-92935,5,EmailAddress-92935,FaxNumber-92935,sion-92935,PhoneNumber-92935,sion-92935,-92935
ndDept-92936,Dept-92936,Dept-92936,2011-01-06,6,2936,ContactPersonDepartmentName-92936,2936,ContactPersonFunctionName-92936,ContactPersonRemarkText-92936,6,EmailAddress-92936,FaxNumber-92936,sion-92936,PhoneNumber-92936,sion-92936,-92936
ndDept-92937,Dept-92937,Dept-92937,2010-12-05,7,2937,ContactPersonDepartmentName-92937,2937,ContactPersonFunctionName-92937,ContactPersonRemarkText-92937,7,EmailAddress-92937,FaxNumber-92937,sion-92937,PhoneNumber-92937,sion-92937,-92937
ndDept-92938,Dept-92938,Dept-92938,2022-10-29,8,2938,ContactPersonDepartmentName-92938,2938,ContactPersonFunctionName-92938,ContactPersonRemarkText-92938,8,EmailAddress-92938,FaxNumber-92938,sion-92938,PhoneNumber-92938,sion-92938,-92938
ndDept-92939,Dept-92939,Dept-92939,2007-11-27,9,2939,ContactPersonDepartmentName-92939,2939,ContactPersonFunctionName-92939,ContactPersonRemarkText-92939,9,EmailAddress-92939,FaxNumber-92939,sion-92939,PhoneNumber-92939,sion-92939,-92939
ndDept-92940,Dept-92940,Dept-92940,2018-12-09,0,2940,ContactPersonDepartmentName-92940,2940,ContactPersonFunctionName-92940,ContactPersonRemarkText-92940,0,EmailAddress-92940,FaxNumber-92940,sion-92940,PhoneNumber-92940,sion-92940,-92940
ndDept-92941,Dept-92941,Dept-92941,2021-04-19,1,2941,ContactPersonDepartmentName-92941,2941,ContactPersonFunctionName-92941,ContactPersonRemarkText-92941,1,EmailAddress-92941,FaxNumber-92941,sion-92941,PhoneNumber-92941,sion-92941,-92941
ndDept-92942,Dept-92942,Dept-92942,2016-12-03,2,2942,ContactPersonDepartmentName-92942,2942,ContactPersonFunctionName-92942,ContactPersonRemarkText-92942,2,EmailAddress-92942,FaxNumber-92942,sion-92942,PhoneNumber-92942,sion-92942,-92942
ndDept-92943,Dept-92943,Dept-92943,2003-08-11,3,2943,ContactPersonDepartmentName-92943,2943,ContactPersonFunctionName-92943,ContactPersonRemarkText-92943,3,EmailAddress-92943,FaxNumber-92943,sion-92943,PhoneNumber-92943,sion-92943,-92943
ndDept-92944,Dept-92944,Dept-92944,2021-05-04,4,2944,ContactPersonDepartmentName-92944,2944,ContactPersonFunctionName-92944,ContactPersonRemarkText-92944,4,EmailAddress-92944,FaxNumber-92944,sion-92944,PhoneNumber-92944,sion-92944,-92944
ndDept-92945,Dept-92945,Dept-92945,2012-02-07,5,2945,ContactPersonDepartmentName-92945,2945,ContactPersonFunctionName-92945,ContactPersonRemarkText-92945,5,EmailAddress-92945,FaxNumber-92945,sion-92945,PhoneNumber-92945,sion-92945,-92945
ndDept-92946,Dept-92946,Dept-92946,2015-11-06,6,2946,ContactPersonDepartmentName-92946,2946,ContactPersonFunctionName-92946,ContactPersonRemarkText-92946,6,EmailAddress-92946,FaxNumber-92946,sion-92946,PhoneNumber-92946,sion-92946,-92946
