BusinessPartner,BusinessPartnerIsVIP,TradingPartner,FactoryCalendar,BusinessPartnerOfficeCountry,BusinessPartnerOfficeRegion,BPRegisteredOfficeName,BPBalanceSheetCurrency,BPLastCptlIncrAmtInBalShtCrcy,BPLastCapitalIncreaseYear,BPBalanceSheetDisplayType,BusinessPartnerCitizenship,BPMaritalPropertyRegime,BusinessPartnerIncomeCurrency,BPNumberOfChildren,BPNumberOfHouseholdMembers,BPAnnualNetIncAmtInIncomeCrcy,BPMonthlyNetIncAmtInIncomeCrcy,BPAnnualNetIncomeYear,BPMonthlyNetIncomeMonth,BPMonthlyNetIncomeYear,BPPlaceOfDeathName,CustomerIsUnwanted,UndesirabilityReason,UndesirabilityComment,LastCustomerContactDate,BPGroupingCharacter,BPLetterSalutation,BusinessPartnerTargetGroup,BusinessPartnerEmployeeGroup,BusinessPartnerIsEmployee,BPTermnBusRelationsBankDate
n-19908777,false,908777,77,777,777,BPRegisteredOfficeName-19908777,08777,7434383871988.287,8777,7,777,77,08777,47,66,3830656455216.689,5795992594562.026,8777,77,8777,BPPlaceOfDeathName-19908777,false,77,UndesirabilityComment-19908777,2003-01-26,r-19908777,77,8777,8777,false,2002-12-08
n-19908778,true,908778,78,778,778,BPRegisteredOfficeName-19908778,08778,7930184230829.509,8778,8,778,78,08778,47,10,7417930037577.936,9469850613546.008,8778,78,8778,BPPlaceOfDeathName-19908778,true,78,UndesirabilityComment-19908778,2005-01-18,r-19908778,78,8778,8778,true,2016-06-05
n-19908779,false,908779,79,779,779,BPRegisteredOfficeName-19908779,08779,31105970334.454,8779,9,779,79,08779,27,53,9772107642940.664,1718583067521.31,8779,79,8779,BPPlaceOfDeathName-19908779,false,79,UndesirabilityComment-19908779,2004-03-31,r-19908779,79,8779,8779,false,2010-12-26
n-19908780,true,908780,80,780,780,BPRegisteredOfficeName-19908780,08780,756206056652.84,8780,0,780,80,08780,24,93,7102163573955.157,8853283585264.812,8780,80,8780,BPPlaceOfDeathName-19908780,true,80,UndesirabilityComment-19908780,2004-08-20,r-19908780,80,8780,8780,true,2013-03-23
n-19908781,false,908781,81,781,781,BPRegisteredOfficeName-19908781,08781,2654267561257.282,8781,1,781,81,08781,1,66,9953247104410.57,3880738952551.831,8781,81,8781,BPPlaceOfDeathName-19908781,false,81,UndesirabilityComment-19908781,2011-04-23,r-19908781,81,8781,8781,false,2013-07-13
n-19908782,true,908782,82,782,782,BPRegisteredOfficeName-19908782,08782,7839508601135.094,8782,2,782,82,08782,38,36,901691399921.447,6591585825740.018,8782,82,8782,BPPlaceOfDeathName-19908782,true,82,UndesirabilityComment-19908782,2016-10-10,r-19908782,82,8782,8782,true,2002-11-16
n-19908783,false,908783,83,783,783,BPRegisteredOfficeName-19908783,08783,5210105423121.828,8783,3,783,83,08783,29,87,9685258222888.701,4588375309184.693,8783,83,8783,BPPlaceOfDeathName-19908783,false,83,UndesirabilityComment-19908783,2007-10-15,r-19908783,83,8783,8783,false,2001-06-05
n-19908784,true,908784,84,784,784,BPRegisteredOfficeName-19908784,08784,4947669549426.921,8784,4,784,84,08784,43,51,9087776295576.26,7348972663654.481,8784,84,8784,BPPlaceOfDeathName-19908784,true,84,UndesirabilityComment-19908784,2019-04-07,r-19908784,84,8784,8784,true,2010-11-04
n-19908785,false,908785,85,785,785,BPRegisteredOfficeName-19908785,08785,1180530754883.155,8785,5,785,85,08785,6,63,6765186477209.283,5720797724742.453,8785,85,8785,BPPlaceOfDeathName-19908785,false,85,UndesirabilityComment-19908785,2006-03-17,r-19908785,85,8785,8785,false,2007-07-25
n-19908786,true,908786,86,786,786,BPRegisteredOfficeName-19908786,08786,7912906493075.359,8786,6,786,86,08786,66,83,8466064749361.941,3219525993111.392,8786,86,8786,BPPlaceOfDeathName-19908786,true,86,UndesirabilityComment-19908786,2022-12-02,r-19908786,86,8786,8786,true,2014-02-03
