BusinessPartner,AddressID,AddressRepresentationCode,AddresseeFullName,AddressIDByExternalSystem,AddressPersonID,AddressSearchTerm1,AddressSearchTerm2,AddressTimeZone,CareOfName,CityName,CityNumber,CompanyPostalCode,Country,DeliveryServiceNumber,DeliveryServiceTypeCode,DistrictName,FormOfAddress,HouseNumber,HouseNumberSupplementText,Language,OrganizationName1,OrganizationName2,OrganizationName3,OrganizationName4,PersonFamilyName,PersonGivenName,POBox,POBoxDeviatingCityName,POBoxDeviatingCountry,POBoxDeviatingRegion,POBoxIsWithoutNumber,POBoxLobbyName,POBoxPostalCode,PostalCode,PrfrdCommMediumType,Region,SecondaryRegion,SecondaryRegionName,StreetName,StreetPrefixName1,StreetPrefixName2,StreetSuffixName1,StreetSuffixName2,TaxJurisdiction,TertiaryRegion,TertiaryRegionName,TransportZone,VillageName
n-13281564,n-13281564,4,AddresseeFullName-13281564,ernalSystem-13281564,D-13281564,SearchTerm1-13281564,SearchTerm2-13281564,281564,CareOfName-13281564,CityName-13281564,ber-13281564,e-13281564,564,r-13281564,1564,DistrictName-13281564,1564,r-13281564,t-13281564,64,OrganizationName1-13281564,OrganizationName2-13281564,OrganizationName3-13281564,OrganizationName4-13281564,PersonFamilyName-13281564,PersonGivenName-13281564,x-13281564,POBoxDeviatingCityName-13281564,564,564,true,POBoxLobbyName-13281564,e-13281564,e-13281564,564,564,13281564,SecondaryRegionName-13281564,StreetName-13281564,StreetPrefixName1-13281564,StreetPrefixName2-13281564,StreetSuffixName1-13281564,StreetSuffixName2-13281564,iction-13281564,13281564,TertiaryRegionName-13281564,e-13281564,VillageName-13281564
n-13281565,n-13281565,5,AddresseeFullName-13281565,ernalSystem-13281565,D-13281565,SearchTerm1-13281565,SearchTerm2-13281565,281565,CareOfName-13281565,CityName-13281565,ber-13281565,e-13281565,565,r-13281565,1565,DistrictName-13281565,1565,r-13281565,t-13281565,65,OrganizationName1-13281565,OrganizationName2-13281565,OrganizationName3-13281565,OrganizationName4-13281565,PersonFamilyName-13281565,PersonGivenName-13281565,x-13281565,POBoxDeviatingCityName-13281565,565,565,false,POBoxLobbyName-13281565,e-13281565,e-13281565,565,565,13281565,SecondaryRegionName-13281565,StreetName-13281565,StreetPrefixName1-13281565,StreetPrefixName2-13281565,StreetSuffixName1-13281565,StreetSuffixName2-13281565,iction-13281565,13281565,TertiaryRegionName-13281565,e-13281565,VillageName-13281565
n-13281566,n-13281566,6,AddresseeFullName-13281566,ernalSystem-13281566,D-13281566,SearchTerm1-13281566,SearchTerm2-13281566,281566,CareOfName-13281566,CityName-13281566,ber-13281566,e-13281566,566,r-13281566,1566,DistrictName-13281566,1566,r-13281566,t-13281566,66,OrganizationName1-13281566,OrganizationName2-13281566,OrganizationName3-13281566,OrganizationName4-13281566,PersonFamilyName-13281566,PersonGivenName-13281566,x-13281566,POBoxDeviatingCityName-13281566,566,566,true,POBoxLobbyName-13281566,e-13281566,e-13281566,566,566,13281566,SecondaryRegionName-13281566,StreetName-13281566,StreetPrefixName1-13281566,StreetPrefixName2-13281566,StreetSuffixName1-13281566,StreetSuffixName2-13281566,iction-13281566,13281566,TertiaryRegionName-13281566,e-13281566,VillageName-13281566
n-13281567,n-13281567,7,AddresseeFullName-13281567,ernalSystem-13281567,D-13281567,SearchTerm1-13281567,SearchTerm2-13281567,281567,CareOfName-13281567,CityName-13281567,ber-13281567,e-13281567,567,r-13281567,1567,DistrictName-13281567,1567,r-13281567,t-13281567,67,OrganizationName1-13281567,OrganizationName2-13281567,OrganizationName3-13281567,OrganizationName4-13281567,PersonFamilyName-13281567,PersonGivenName-13281567,x-13281567,POBoxDeviatingCityName-13281567,567,567,false,POBoxLobbyName-13281567,e-13281567,e-13281567,567,567,13281567,SecondaryRegionName-13281567,StreetName-13281567,StreetPrefixName1-13281567,StreetPrefixName2-13281567,StreetSuffixName1-13281567,StreetSuffixName2-13281567,iction-13281567,13281567,TertiaryRegionName-13281567,e-13281567,VillageName-13281567
n-13281568,n-13281568,8,AddresseeFullName-13281568,ernalSystem-13281568,D-13281568,SearchTerm1-13281568,SearchTerm2-13281568,281568,CareOfName-13281568,CityName-13281568,ber-13281568,e-13281568,568,r-13281568,1568,DistrictName-13281568,1568,r-13281568,t-13281568,68,OrganizationName1-13281568,OrganizationName2-13281568,OrganizationName3-13281568,OrganizationName4-13281568,PersonFamilyName-13281568,PersonGivenName-13281568,x-13281568,POBoxDeviatingCityName-13281568,568,568,true,POBoxLobbyName-13281568,e-13281568,e-13281568,568,568,13281568,SecondaryRegionName-13281568,StreetName-13281568,StreetPrefixName1-13281568,StreetPrefixName2-13281568,StreetSuffixName1-13281568,StreetSuffixName2-13281568,iction-13281568,13281568,TertiaryRegionName-13281568,e-13281568,VillageName-13281568
n-13281569,n-13281569,9,AddresseeFullName-13281569,ernalSystem-13281569,D-13281569,SearchTerm1-13281569,SearchTerm2-13281569,281569,CareOfName-13281569,CityName-13281569,ber-13281569,e-13281569,569,r-13281569,1569,DistrictName-13281569,1569,r-13281569,t-13281569,69,OrganizationName1-13281569,OrganizationName2-13281569,OrganizationName3-13281569,OrganizationName4-13281569,PersonFamilyName-13281569,PersonGivenName-13281569,x-13281569,POBoxDeviatingCityName-13281569,569,569,false,POBoxLobbyName-13281569,e-13281569,e-13281569,569,569,13281569,SecondaryRegionName-13281569,StreetName-13281569,StreetPrefixName1-13281569,StreetPrefixName2-13281569,StreetSuffixName1-13281569,StreetSuffixName2-13281569,iction-13281569,13281569,TertiaryRegionName-13281569,e-13281569,VillageName-13281569
n-13281570,n-13281570,0,AddresseeFullName-13281570,ernalSystem-13281570,D-13281570,SearchTerm1-13281570,SearchTerm2-13281570,281570,CareOfName-13281570,CityName-13281570,ber-13281570,e-13281570,570,r-13281570,1570,DistrictName-13281570,1570,r-13281570,t-13281570,70,OrganizationName1-13281570,OrganizationName2-13281570,OrganizationName3-13281570,OrganizationName4-13281570,PersonFamilyName-13281570,PersonGivenName-13281570,x-13281570,POBoxDeviatingCityName-13281570,570,570,true,POBoxLobbyName-13281570,e-13281570,e-13281570,570,570,13281570,SecondaryRegionName-13281570,StreetName-13281570,StreetPrefixName1-13281570,StreetPrefixName2-13281570,StreetSuffixName1-13281570,StreetSuffixName2-13281570,iction-13281570,13281570,TertiaryRegionName-13281570,e-13281570,VillageName-13281570
n-13281571,n-13281571,1,AddresseeFullName-13281571,ernalSystem-13281571,D-13281571,SearchTerm1-13281571,SearchTerm2-13281571,281571,CareOfName-13281571,CityName-13281571,ber-13281571,e-13281571,571,r-13281571,1571,DistrictName-13281571,1571,r-13281571,t-13281571,71,OrganizationName1-13281571,OrganizationName2-13281571,OrganizationName3-13281571,OrganizationName4-13281571,PersonFamilyName-13281571,PersonGivenName-13281571,x-13281571,POBoxDeviatingCityName-13281571,571,571,false,POBoxLobbyName-13281571,e-13281571,e-13281571,571,571,13281571,SecondaryRegionName-13281571,StreetName-13281571,StreetPrefixName1-13281571,StreetPrefixName2-13281571,StreetSuffixName1-13281571,StreetSuffixName2-13281571,iction-13281571,13281571,TertiaryRegionName-13281571,e-13281571,VillageName-13281571
n-13281572,n-13281572,2,AddresseeFullName-13281572,ernalSystem-13281572,D-13281572,SearchTerm1-13281572,SearchTerm2-13281572,281572,CareOfName-13281572,CityName-13281572,ber-13281572,e-13281572,572,r-13281572,1572,DistrictName-13281572,1572,r-13281572,t-13281572,72,OrganizationName1-13281572,OrganizationName2-13281572,OrganizationName3-13281572,OrganizationName4-13281572,PersonFamilyName-13281572,PersonGivenName-13281572,x-13281572,POBoxDeviatingCityName-13281572,572,572,true,POBoxLobbyName-13281572,e-13281572,e-13281572,572,572,13281572,SecondaryRegionName-13281572,StreetName-13281572,StreetPrefixName1-13281572,StreetPrefixName2-13281572,StreetSuffixName1-13281572,StreetSuffixName2-13281572,iction-13281572,13281572,TertiaryRegionName-13281572,e-13281572,VillageName-13281572
n-13281573,n-13281573,3,AddresseeFullName-13281573,ernalSystem-13281573,D-13281573,SearchTerm1-13281573,SearchTerm2-13281573,281573,CareOfName-13281573,CityName-13281573,ber-13281573,e-13281573,573,r-13281573,1573,DistrictName-13281573,1573,r-13281573,t-13281573,73,OrganizationName1-13281573,OrganizationName2-13281573,OrganizationName3-13281573,OrganizationName4-13281573,PersonFamilyName-13281573,PersonGivenName-13281573,x-13281573,POBoxDeviatingCityName-13281573,573,573,false,POBoxLobbyName-13281573,e-13281573,e-13281573,573,573,13281573,SecondaryRegionName-13281573,StreetName-13281573,StreetPrefixName1-13281573,StreetPrefixName2-13281573,StreetSuffixName1-13281573,StreetSuffixName2-13281573,iction-13281573,13281573,TertiaryRegionName-13281573,e-13281573,VillageName-13281573
