BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner,to_BPCreditWorthiness_BusinessPartner,to_BPFinServicesReporting_BusinessPartner,to_BusinessPartner_BusinessPartner,to_BusinessPartnerIsBank_BusinessPartner,to_Customer_Customer,to_Supplier_Supplier
r-29041810,r-29041810,r-29041810,1810,1810,0,BusinessPartnerFullName-29041810,1810,BusinessPartnerName-29041810,29041810-4a3b-413b-8fde-6f5bd05f60d7,10,ser-29041810,2015-07-31,22:59:53,FirstName-29041810,1810,y-29041810,9041810,41810,true,true,0,true,0,10,2017-03-12,22:59:53,ser-29041810,LastName-29041810,10,OrganizationBPName1-29041810,OrganizationBPName2-29041810,OrganizationBPName3-29041810,OrganizationBPName4-29041810,2001-04-03,2013-07-23,SearchTerm1-29041810,SearchTerm2-29041810,AdditionalLastName-29041810,2007-08-22,0,BusinessPartnerBirthplaceName-29041810,2010-07-07,true,1810,ETag-29041810,GroupBusinessPartnerName1-29041810,GroupBusinessPartnerName2-29041810,D-29041810,0,MiddleName-29041810,810,10,PersonFullName-29041810,r-29041810,true,ByExtSystem-29041810,0,1810,0,810,BusinessPartnerBirthName-29041810,1810,NaturalPersonEmployerName-29041810,1810,1810,s-29041810,true,041810,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041811,r-29041811,r-29041811,1811,1811,1,BusinessPartnerFullName-29041811,1811,BusinessPartnerName-29041811,29041811-d679-4377-a753-66558b10c40f,11,ser-29041811,2017-03-17,22:59:53,FirstName-29041811,1811,y-29041811,9041811,41811,false,false,1,false,1,11,2005-10-12,22:59:53,ser-29041811,LastName-29041811,11,OrganizationBPName1-29041811,OrganizationBPName2-29041811,OrganizationBPName3-29041811,OrganizationBPName4-29041811,2019-07-12,2003-04-18,SearchTerm1-29041811,SearchTerm2-29041811,AdditionalLastName-29041811,2014-06-09,1,BusinessPartnerBirthplaceName-29041811,2007-09-30,false,1811,ETag-29041811,GroupBusinessPartnerName1-29041811,GroupBusinessPartnerName2-29041811,D-29041811,1,MiddleName-29041811,811,11,PersonFullName-29041811,r-29041811,false,ByExtSystem-29041811,1,1811,1,811,BusinessPartnerBirthName-29041811,1811,NaturalPersonEmployerName-29041811,1811,1811,s-29041811,false,041811,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041812,r-29041812,r-29041812,1812,1812,2,BusinessPartnerFullName-29041812,1812,BusinessPartnerName-29041812,29041812-66d6-4463-8d04-b55d9c6bd001,12,ser-29041812,2013-05-23,22:59:53,FirstName-29041812,1812,y-29041812,9041812,41812,true,true,2,true,2,12,2004-12-17,22:59:53,ser-29041812,LastName-29041812,12,OrganizationBPName1-29041812,OrganizationBPName2-29041812,OrganizationBPName3-29041812,OrganizationBPName4-29041812,2001-02-24,2011-03-15,SearchTerm1-29041812,SearchTerm2-29041812,AdditionalLastName-29041812,2001-12-02,2,BusinessPartnerBirthplaceName-29041812,2005-02-20,true,1812,ETag-29041812,GroupBusinessPartnerName1-29041812,GroupBusinessPartnerName2-29041812,D-29041812,2,MiddleName-29041812,812,12,PersonFullName-29041812,r-29041812,true,ByExtSystem-29041812,2,1812,2,812,BusinessPartnerBirthName-29041812,1812,NaturalPersonEmployerName-29041812,1812,1812,s-29041812,true,041812,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041813,r-29041813,r-29041813,1813,1813,3,BusinessPartnerFullName-29041813,1813,BusinessPartnerName-29041813,29041813-a17a-4600-96e3-75e8605e6953,13,ser-29041813,2018-12-03,22:59:53,FirstName-29041813,1813,y-29041813,9041813,41813,false,false,3,false,3,13,2002-01-21,22:59:53,ser-29041813,LastName-29041813,13,OrganizationBPName1-29041813,OrganizationBPName2-29041813,OrganizationBPName3-29041813,OrganizationBPName4-29041813,2005-10-09,2021-08-23,SearchTerm1-29041813,SearchTerm2-29041813,AdditionalLastName-29041813,2016-10-06,3,BusinessPartnerBirthplaceName-29041813,2012-02-01,false,1813,ETag-29041813,GroupBusinessPartnerName1-29041813,GroupBusinessPartnerName2-29041813,D-29041813,3,MiddleName-29041813,813,13,PersonFullName-29041813,r-29041813,false,ByExtSystem-29041813,3,1813,3,813,BusinessPartnerBirthName-29041813,1813,NaturalPersonEmployerName-29041813,1813,1813,s-29041813,false,041813,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041814,r-29041814,r-29041814,1814,1814,4,BusinessPartnerFullName-29041814,1814,BusinessPartnerName-29041814,29041814-c979-4fc7-b812-cb66748599af,14,ser-29041814,2022-03-20,22:59:53,FirstName-29041814,1814,y-29041814,9041814,41814,true,true,4,true,4,14,2009-06-02,22:59:53,ser-29041814,LastName-29041814,14,OrganizationBPName1-29041814,OrganizationBPName2-29041814,OrganizationBPName3-29041814,OrganizationBPName4-29041814,2014-09-14,2020-08-10,SearchTerm1-29041814,SearchTerm2-29041814,AdditionalLastName-29041814,2017-07-12,4,BusinessPartnerBirthplaceName-29041814,2003-09-25,true,1814,ETag-29041814,GroupBusinessPartnerName1-29041814,GroupBusinessPartnerName2-29041814,D-29041814,4,MiddleName-29041814,814,14,PersonFullName-29041814,r-29041814,true,ByExtSystem-29041814,4,1814,4,814,BusinessPartnerBirthName-29041814,1814,NaturalPersonEmployerName-29041814,1814,1814,s-29041814,true,041814,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041815,r-29041815,r-29041815,1815,1815,5,BusinessPartnerFullName-29041815,1815,BusinessPartnerName-29041815,29041815-b583-4d1c-b8a1-c57a1fd8e41e,15,ser-29041815,2000-03-28,22:59:53,FirstName-29041815,1815,y-29041815,9041815,41815,false,false,5,false,5,15,2007-08-19,22:59:53,ser-29041815,LastName-29041815,15,OrganizationBPName1-29041815,OrganizationBPName2-29041815,OrganizationBPName3-29041815,OrganizationBPName4-29041815,2016-11-24,2022-11-01,SearchTerm1-29041815,SearchTerm2-29041815,AdditionalLastName-29041815,2016-01-20,5,BusinessPartnerBirthplaceName-29041815,2002-09-06,false,1815,ETag-29041815,GroupBusinessPartnerName1-29041815,GroupBusinessPartnerName2-29041815,D-29041815,5,MiddleName-29041815,815,15,PersonFullName-29041815,r-29041815,false,ByExtSystem-29041815,5,1815,5,815,BusinessPartnerBirthName-29041815,1815,NaturalPersonEmployerName-29041815,1815,1815,s-29041815,false,041815,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041816,r-29041816,r-29041816,1816,1816,6,BusinessPartnerFullName-29041816,1816,BusinessPartnerName-29041816,29041816-fb6b-466f-8118-701d6a5a6bfe,16,ser-29041816,2008-11-25,22:59:53,FirstName-29041816,1816,y-29041816,9041816,41816,true,true,6,true,6,16,2019-01-25,22:59:53,ser-29041816,LastName-29041816,16,OrganizationBPName1-29041816,OrganizationBPName2-29041816,OrganizationBPName3-29041816,OrganizationBPName4-29041816,2013-11-12,2017-06-21,SearchTerm1-29041816,SearchTerm2-29041816,AdditionalLastName-29041816,2018-08-21,6,BusinessPartnerBirthplaceName-29041816,2023-12-23,true,1816,ETag-29041816,GroupBusinessPartnerName1-29041816,GroupBusinessPartnerName2-29041816,D-29041816,6,MiddleName-29041816,816,16,PersonFullName-29041816,r-29041816,true,ByExtSystem-29041816,6,1816,6,816,BusinessPartnerBirthName-29041816,1816,NaturalPersonEmployerName-29041816,1816,1816,s-29041816,true,041816,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041817,r-29041817,r-29041817,1817,1817,7,BusinessPartnerFullName-29041817,1817,BusinessPartnerName-29041817,29041817-112b-43e5-aa98-e6a214b894d4,17,ser-29041817,2016-10-12,22:59:53,FirstName-29041817,1817,y-29041817,9041817,41817,false,false,7,false,7,17,2011-12-01,22:59:53,ser-29041817,LastName-29041817,17,OrganizationBPName1-29041817,OrganizationBPName2-29041817,OrganizationBPName3-29041817,OrganizationBPName4-29041817,2020-09-30,2019-02-03,SearchTerm1-29041817,SearchTerm2-29041817,AdditionalLastName-29041817,2001-12-11,7,BusinessPartnerBirthplaceName-29041817,2016-01-08,false,1817,ETag-29041817,GroupBusinessPartnerName1-29041817,GroupBusinessPartnerName2-29041817,D-29041817,7,MiddleName-29041817,817,17,PersonFullName-29041817,r-29041817,false,ByExtSystem-29041817,7,1817,7,817,BusinessPartnerBirthName-29041817,1817,NaturalPersonEmployerName-29041817,1817,1817,s-29041817,false,041817,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041818,r-29041818,r-29041818,1818,1818,8,BusinessPartnerFullName-29041818,1818,BusinessPartnerName-29041818,29041818-542e-4e97-8fb6-e889bf4a00a6,18,ser-29041818,2004-03-31,22:59:53,FirstName-29041818,1818,y-29041818,9041818,41818,true,true,8,true,8,18,2002-04-18,22:59:53,ser-29041818,LastName-29041818,18,OrganizationBPName1-29041818,OrganizationBPName2-29041818,OrganizationBPName3-29041818,OrganizationBPName4-29041818,2012-01-04,2017-11-15,SearchTerm1-29041818,SearchTerm2-29041818,AdditionalLastName-29041818,2010-01-11,8,BusinessPartnerBirthplaceName-29041818,2014-06-28,true,1818,ETag-29041818,GroupBusinessPartnerName1-29041818,GroupBusinessPartnerName2-29041818,D-29041818,8,MiddleName-29041818,818,18,PersonFullName-29041818,r-29041818,true,ByExtSystem-29041818,8,1818,8,818,BusinessPartnerBirthName-29041818,1818,NaturalPersonEmployerName-29041818,1818,1818,s-29041818,true,041818,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041819,r-29041819,r-29041819,1819,1819,9,BusinessPartnerFullName-29041819,1819,BusinessPartnerName-29041819,29041819-d6a9-4589-b816-a27b706bff7d,19,ser-29041819,2017-06-07,22:59:53,FirstName-29041819,1819,y-29041819,9041819,41819,false,false,9,false,9,19,2010-09-11,22:59:53,ser-29041819,LastName-29041819,19,OrganizationBPName1-29041819,OrganizationBPName2-29041819,OrganizationBPName3-29041819,OrganizationBPName4-29041819,2020-07-20,2015-05-19,SearchTerm1-29041819,SearchTerm2-29041819,AdditionalLastName-29041819,2019-11-30,9,BusinessPartnerBirthplaceName-29041819,2022-11-22,false,1819,ETag-29041819,GroupBusinessPartnerName1-29041819,GroupBusinessPartnerName2-29041819,D-29041819,9,MiddleName-29041819,819,19,PersonFullName-29041819,r-29041819,false,ByExtSystem-29041819,9,1819,9,819,BusinessPartnerBirthName-29041819,1819,NaturalPersonEmployerName-29041819,1819,1819,s-29041819,false,041819,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
