BusinessPartner,BankIdentification,BankCountryKey,BankName,BankNumber,SWIFTCode,BankControlKey,BankAccountHolderName,BankAccountName,ValidityStartDate,ValidityEndDate,IBAN,IBANValidityStartDate,BankAccount,BankAccountReferenceText,CollectionAuthInd,CityName,AuthorizationGroup
k-21383688,3688,688,BankName-21383688,Number-21383688,de-21383688,88,BankAccountHolderName-21383688,BankAccountName-21383688,2003-11-06T00:00:00.000Z,2016-06-21T00:00:00.000Z,IBAN-21383688,2000-08-10,nkAccount-21383688,ferenceText-21383688,true,CityName-21383688,3688
k-21383689,3689,689,BankName-21383689,Number-21383689,de-21383689,89,BankAccountHolderName-21383689,BankAccountName-21383689,2013-08-17T00:00:00.000Z,2005-01-14T00:00:00.000Z,IBAN-21383689,2009-07-02,nkAccount-21383689,ferenceText-21383689,false,CityName-21383689,3689
k-21383690,3690,690,BankName-21383690,Number-21383690,de-21383690,90,BankAccountHolderName-21383690,BankAccountName-21383690,2006-09-19T00:00:00.000Z,2005-11-06T00:00:00.000Z,IBAN-21383690,2010-09-18,nkAccount-21383690,ferenceText-21383690,true,CityName-21383690,3690
k-21383691,3691,691,BankName-21383691,Number-21383691,de-21383691,91,BankAccountHolderName-21383691,BankAccountName-21383691,2007-10-15T00:00:00.000Z,2003-08-13T00:00:00.000Z,IBAN-21383691,2009-06-07,nkAccount-21383691,ferenceText-21383691,false,CityName-21383691,3691
k-21383692,3692,692,BankName-21383692,Number-21383692,de-21383692,92,BankAccountHolderName-21383692,BankAccountName-21383692,2019-11-27T00:00:00.000Z,2001-05-30T00:00:00.000Z,IBAN-21383692,2011-08-03,nkAccount-21383692,ferenceText-21383692,true,CityName-21383692,3692
k-21383693,3693,693,BankName-21383693,Number-21383693,de-21383693,93,BankAccountHolderName-21383693,BankAccountName-21383693,2012-12-18T00:00:00.000Z,2000-04-28T00:00:00.000Z,IBAN-21383693,2022-01-05,nkAccount-21383693,ferenceText-21383693,false,CityName-21383693,3693
k-21383694,3694,694,BankName-21383694,Number-21383694,de-21383694,94,BankAccountHolderName-21383694,BankAccountName-21383694,2000-06-07T00:00:00.000Z,2014-07-01T00:00:00.000Z,IBAN-21383694,2003-06-30,nkAccount-21383694,ferenceText-21383694,true,CityName-21383694,3694
k-21383695,3695,695,BankName-21383695,Number-21383695,de-21383695,95,BankAccountHolderName-21383695,BankAccountName-21383695,2014-05-01T00:00:00.000Z,2011-10-11T00:00:00.000Z,IBAN-21383695,2020-05-23,nkAccount-21383695,ferenceText-21383695,false,CityName-21383695,3695
k-21383696,3696,696,BankName-21383696,Number-21383696,de-21383696,96,BankAccountHolderName-21383696,BankAccountName-21383696,2003-02-13T00:00:00.000Z,2021-02-26T00:00:00.000Z,IBAN-21383696,2020-07-07,nkAccount-21383696,ferenceText-21383696,true,CityName-21383696,3696
k-21383697,3697,697,BankName-21383697,Number-21383697,de-21383697,97,BankAccountHolderName-21383697,BankAccountName-21383697,2019-12-16T00:00:00.000Z,2011-11-10T00:00:00.000Z,IBAN-21383697,2006-01-18,nkAccount-21383697,ferenceText-21383697,false,CityName-21383697,3697
