BusinessPartner,PaymentCardID,PaymentCardType,CardNumber,IsStandardCard,CardDescription,ValidityDate,ValidityEndDate,CardHolder,CardIssuingBank,CardIssueDate,PaymentCardLock,MaskedCardNumber
d-30206218,206218,6218,rtnerPaymentCard-30206218,true,CardDescription-30206218,2012-09-13,2022-10-04,CardHolder-30206218,CardIssuingBank-30206218,2001-02-20,18,MaskedCardNumber-30206218
d-30206219,206219,6219,rtnerPaymentCard-30206219,false,CardDescription-30206219,2018-04-02,2022-10-18,CardHolder-30206219,CardIssuingBank-30206219,2016-02-13,19,MaskedCardNumber-30206219
d-30206220,206220,6220,rtnerPaymentCard-30206220,true,CardDescription-30206220,2006-12-08,2004-11-19,CardHolder-30206220,CardIssuingBank-30206220,2022-01-16,20,MaskedCardNumber-30206220
d-30206221,206221,6221,rtnerPaymentCard-30206221,false,CardDescription-30206221,2010-12-06,2016-04-26,CardHolder-30206221,CardIssuingBank-30206221,2010-12-09,21,MaskedCardNumber-30206221
d-30206222,206222,6222,rtnerPaymentCard-30206222,true,CardDescription-30206222,2022-09-07,2017-05-30,CardHolder-30206222,CardIssuingBank-30206222,2015-12-22,22,MaskedCardNumber-30206222
d-30206223,206223,6223,rtnerPaymentCard-30206223,false,CardDescription-30206223,2005-08-21,2017-06-30,CardHolder-30206223,CardIssuingBank-30206223,2019-09-12,23,MaskedCardNumber-30206223
d-30206224,206224,6224,rtnerPaymentCard-30206224,true,CardDescription-30206224,2005-07-13,2015-06-13,CardHolder-30206224,CardIssuingBank-30206224,2010-01-14,24,MaskedCardNumber-30206224
d-30206225,206225,6225,rtnerPaymentCard-30206225,false,CardDescription-30206225,2001-06-28,2002-01-22,CardHolder-30206225,CardIssuingBank-30206225,2018-06-15,25,MaskedCardNumber-30206225
d-30206226,206226,6226,rtnerPaymentCard-30206226,true,CardDescription-30206226,2010-06-19,2015-11-28,CardHolder-30206226,CardIssuingBank-30206226,2007-04-08,26,MaskedCardNumber-30206226
d-30206227,206227,6227,rtnerPaymentCard-30206227,false,CardDescription-30206227,2017-10-26,2001-03-21,CardHolder-30206227,CardIssuingBank-30206227,2012-05-14,27,MaskedCardNumber-30206227
d-30206228,206228,6228,rtnerPaymentCard-30206228,true,CardDescription-30206228,2000-07-31,2011-06-17,CardHolder-30206228,CardIssuingBank-30206228,2006-11-22,28,MaskedCardNumber-30206228
