BusinessPartner,BPTaxType,BPTaxNumber,BPTaxLongNumber,AuthorizationGroup
r-13074562,4562,BPTaxNumber-13074562,BPTaxLongNumber-13074562,4562
r-13074563,4563,BPTaxNumber-13074563,BPTaxLongNumber-13074563,4563
r-13074564,4564,BPTaxNumber-13074564,BPTaxLongNumber-13074564,4564
r-13074565,4565,BPTaxNumber-13074565,BPTaxLongNumber-13074565,4565
r-13074566,4566,BPTaxNumber-13074566,BPTaxLongNumber-13074566,4566
r-13074567,4567,BPTaxNumber-13074567,BPTaxLongNumber-13074567,4567
r-13074568,4568,BPTaxNumber-13074568,BPTaxLongNumber-13074568,4568
r-13074569,4569,BPTaxNumber-13074569,BPTaxLongNumber-13074569,4569
r-13074570,4570,BPTaxNumber-13074570,BPTaxLongNumber-13074570,4570
r-13074571,4571,BPTaxNumber-13074571,BPTaxLongNumber-13074571,4571
r-13074572,4572,BPTaxNumber-13074572,BPTaxLongNumber-13074572,4572
r-13074573,4573,BPTaxNumber-13074573,BPTaxLongNumber-13074573,4573
r-13074574,4574,BPTaxNumber-13074574,BPTaxLongNumber-13074574,4574
r-13074575,4575,BPTaxNumber-13074575,BPTaxLongNumber-13074575,4575
r-13074576,4576,BPTaxNumber-13074576,BPTaxLongNumber-13074576,4576
r-13074577,4577,BPTaxNumber-13074577,BPTaxLongNumber-13074577,4577
r-13074578,4578,BPTaxNumber-13074578,BPTaxLongNumber-13074578,4578
r-13074579,4579,BPTaxNumber-13074579,BPTaxLongNumber-13074579,4579
r-13074580,4580,BPTaxNumber-13074580,BPTaxLongNumber-13074580,4580
r-13074581,4581,BPTaxNumber-13074581,BPTaxLongNumber-13074581,4581
r-13074582,4582,BPTaxNumber-13074582,BPTaxLongNumber-13074582,4582
r-13074583,4583,BPTaxNumber-13074583,BPTaxLongNumber-13074583,4583
r-13074584,4584,BPTaxNumber-13074584,BPTaxLongNumber-13074584,4584
r-13074585,4585,BPTaxNumber-13074585,BPTaxLongNumber-13074585,4585
r-13074586,4586,BPTaxNumber-13074586,BPTaxLongNumber-13074586,4586
r-13074587,4587,BPTaxNumber-13074587,BPTaxLongNumber-13074587,4587
r-13074588,4588,BPTaxNumber-13074588,BPTaxLongNumber-13074588,4588
r-13074589,4589,BPTaxNumber-13074589,BPTaxLongNumber-13074589,4589
r-13074590,4590,BPTaxNumber-13074590,BPTaxLongNumber-13074590,4590
r-13074591,4591,BPTaxNumber-13074591,BPTaxLongNumber-13074591,4591
r-13074592,4592,BPTaxNumber-13074592,BPTaxLongNumber-13074592,4592
r-13074593,4593,BPTaxNumber-13074593,BPTaxLongNumber-13074593,4593
r-13074594,4594,BPTaxNumber-13074594,BPTaxLongNumber-13074594,4594
r-13074595,4595,BPTaxNumber-13074595,BPTaxLongNumber-13074595,4595
r-13074596,4596,BPTaxNumber-13074596,BPTaxLongNumber-13074596,4596
r-13074597,4597,BPTaxNumber-13074597,BPTaxLongNumber-13074597,4597
r-13074598,4598,BPTaxNumber-13074598,BPTaxLongNumber-13074598,4598
r-13074599,4599,BPTaxNumber-13074599,BPTaxLongNumber-13074599,4599
r-13074600,4600,BPTaxNumber-13074600,BPTaxLongNumber-13074600,4600
r-13074601,4601,BPTaxNumber-13074601,BPTaxLongNumber-13074601,4601
r-13074602,4602,BPTaxNumber-13074602,BPTaxLongNumber-13074602,4602
r-13074603,4603,BPTaxNumber-13074603,BPTaxLongNumber-13074603,4603
r-13074604,4604,BPTaxNumber-13074604,BPTaxLongNumber-13074604,4604
r-13074605,4605,BPTaxNumber-13074605,BPTaxLongNumber-13074605,4605
r-13074606,4606,BPTaxNumber-13074606,BPTaxLongNumber-13074606,4606
r-13074607,4607,BPTaxNumber-13074607,BPTaxLongNumber-13074607,4607
r-13074608,4608,BPTaxNumber-13074608,BPTaxLongNumber-13074608,4608
r-13074609,4609,BPTaxNumber-13074609,BPTaxLongNumber-13074609,4609
r-13074610,4610,BPTaxNumber-13074610,BPTaxLongNumber-13074610,4610
r-13074611,4611,BPTaxNumber-13074611,BPTaxLongNumber-13074611,4611
r-13074612,4612,BPTaxNumber-13074612,BPTaxLongNumber-13074612,4612
r-13074613,4613,BPTaxNumber-13074613,BPTaxLongNumber-13074613,4613
r-13074614,4614,BPTaxNumber-13074614,BPTaxLongNumber-13074614,4614
r-13074615,4615,BPTaxNumber-13074615,BPTaxLongNumber-13074615,4615
r-13074616,4616,BPTaxNumber-13074616,BPTaxLongNumber-13074616,4616
r-13074617,4617,BPTaxNumber-13074617,BPTaxLongNumber-13074617,4617
r-13074618,4618,BPTaxNumber-13074618,BPTaxLongNumber-13074618,4618
r-13074619,4619,BPTaxNumber-13074619,BPTaxLongNumber-13074619,4619
r-13074620,4620,BPTaxNumber-13074620,BPTaxLongNumber-13074620,4620
r-13074621,4621,BPTaxNumber-13074621,BPTaxLongNumber-13074621,4621
r-13074622,4622,BPTaxNumber-13074622,BPTaxLongNumber-13074622,4622
r-13074623,4623,BPTaxNumber-13074623,BPTaxLongNumber-13074623,4623
r-13074624,4624,BPTaxNumber-13074624,BPTaxLongNumber-13074624,4624
r-13074625,4625,BPTaxNumber-13074625,BPTaxLongNumber-13074625,4625
r-13074626,4626,BPTaxNumber-13074626,BPTaxLongNumber-13074626,4626
r-13074627,4627,BPTaxNumber-13074627,BPTaxLongNumber-13074627,4627
r-13074628,4628,BPTaxNumber-13074628,BPTaxLongNumber-13074628,4628
r-13074629,4629,BPTaxNumber-13074629,BPTaxLongNumber-13074629,4629
r-13074630,4630,BPTaxNumber-13074630,BPTaxLongNumber-13074630,4630
r-13074631,4631,BPTaxNumber-13074631,BPTaxLongNumber-13074631,4631
r-13074632,4632,BPTaxNumber-13074632,BPTaxLongNumber-13074632,4632
r-13074633,4633,BPTaxNumber-13074633,BPTaxLongNumber-13074633,4633
r-13074634,4634,BPTaxNumber-13074634,BPTaxLongNumber-13074634,4634
r-13074635,4635,BPTaxNumber-13074635,BPTaxLongNumber-13074635,4635
r-13074636,4636,BPTaxNumber-13074636,BPTaxLongNumber-13074636,4636
r-13074637,4637,BPTaxNumber-13074637,BPTaxLongNumber-13074637,4637
r-13074638,4638,BPTaxNumber-13074638,BPTaxLongNumber-13074638,4638
r-13074639,4639,BPTaxNumber-13074639,BPTaxLongNumber-13074639,4639
r-13074640,4640,BPTaxNumber-13074640,BPTaxLongNumber-13074640,4640
r-13074641,4641,BPTaxNumber-13074641,BPTaxLongNumber-13074641,4641
r-13074642,4642,BPTaxNumber-13074642,BPTaxLongNumber-13074642,4642
r-13074643,4643,BPTaxNumber-13074643,BPTaxLongNumber-13074643,4643
r-13074644,4644,BPTaxNumber-13074644,BPTaxLongNumber-13074644,4644
r-13074645,4645,BPTaxNumber-13074645,BPTaxLongNumber-13074645,4645
r-13074646,4646,BPTaxNumber-13074646,BPTaxLongNumber-13074646,4646
r-13074647,4647,BPTaxNumber-13074647,BPTaxLongNumber-13074647,4647
r-13074648,4648,BPTaxNumber-13074648,BPTaxLongNumber-13074648,4648
r-13074649,4649,BPTaxNumber-13074649,BPTaxLongNumber-13074649,4649
r-13074650,4650,BPTaxNumber-13074650,BPTaxLongNumber-13074650,4650
r-13074651,4651,BPTaxNumber-13074651,BPTaxLongNumber-13074651,4651
r-13074652,4652,BPTaxNumber-13074652,BPTaxLongNumber-13074652,4652
r-13074653,4653,BPTaxNumber-13074653,BPTaxLongNumber-13074653,4653
r-13074654,4654,BPTaxNumber-13074654,BPTaxLongNumber-13074654,4654
r-13074655,4655,BPTaxNumber-13074655,BPTaxLongNumber-13074655,4655
r-13074656,4656,BPTaxNumber-13074656,BPTaxLongNumber-13074656,4656
r-13074657,4657,BPTaxNumber-13074657,BPTaxLongNumber-13074657,4657
r-13074658,4658,BPTaxNumber-13074658,BPTaxLongNumber-13074658,4658
r-13074659,4659,BPTaxNumber-13074659,BPTaxLongNumber-13074659,4659
r-13074660,4660,BPTaxNumber-13074660,BPTaxLongNumber-13074660,4660
r-13074661,4661,BPTaxNumber-13074661,BPTaxLongNumber-13074661,4661
