Customer,AuthorizationGroup,BillingIsBlockedForCustomer,CreatedByUser,CreationDate,CustomerAccountGroup,CustomerClassification,CustomerFullName,BPCustomerFullName,CustomerName,BPCustomerName,DeliveryIsBlocked,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,NFPartnerIsNaturalPerson,OrderIsBlockedForCustomer,PostingIsBlocked,Supplier,CustomerCorporateGroup,FiscalAddress,Industry,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,NielsenRegion,PaymentReason,ResponsibleType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberType,VATRegistration,DeletionIndicator,ExpressTrainStationName,TrainStationName,CityCode,County,BR_ICMSTaxPayerType
r-12779418,9418,18,ser-12779418,2014-07-09,9418,18,CustomerFullName-12779418,BPCustomerFullName-12779418,CustomerName-12779418,BPCustomerName-12779418,18,18,18,18,18,18,418,418,418,418,418,8,18,true,r-12779418,p-12779418,s-12779418,9418,1-12779418,2-12779418,3-12779418,4-12779418,5-12779418,2779418,79418,8,18,9418,18,Number1-12779418,r2-12779418,axNumber3-12779418,axNumber4-12779418,TaxNumber5-12779418,18,egistration-12779418,true,TrainStationName-12779418,TrainStationName-12779418,9418,418,18
r-29274028,4028,28,ser-29274028,2001-06-28,4028,28,CustomerFullName-29274028,BPCustomerFullName-29274028,CustomerName-29274028,BPCustomerName-29274028,28,28,28,28,28,28,028,028,028,028,028,8,28,true,r-29274028,p-29274028,s-29274028,4028,1-29274028,2-29274028,3-29274028,4-29274028,5-29274028,9274028,74028,8,28,4028,28,Number1-29274028,r2-29274028,axNumber3-29274028,axNumber4-29274028,TaxNumber5-29274028,28,egistration-29274028,true,TrainStationName-29274028,TrainStationName-29274028,4028,028,28
r-29274029,4029,29,ser-29274029,2019-02-19,4029,29,CustomerFullName-29274029,BPCustomerFullName-29274029,CustomerName-29274029,BPCustomerName-29274029,29,29,29,29,29,29,029,029,029,029,029,9,29,false,r-29274029,p-29274029,s-29274029,4029,1-29274029,2-29274029,3-29274029,4-29274029,5-29274029,9274029,74029,9,29,4029,29,Number1-29274029,r2-29274029,axNumber3-29274029,axNumber4-29274029,TaxNumber5-29274029,29,egistration-29274029,false,TrainStationName-29274029,TrainStationName-29274029,4029,029,29
r-29274030,4030,30,ser-29274030,2007-01-10,4030,30,CustomerFullName-29274030,BPCustomerFullName-29274030,CustomerName-29274030,BPCustomerName-29274030,30,30,30,30,30,30,030,030,030,030,030,0,30,true,r-29274030,p-29274030,s-29274030,4030,1-29274030,2-29274030,3-29274030,4-29274030,5-29274030,9274030,74030,0,30,4030,30,Number1-29274030,r2-29274030,axNumber3-29274030,axNumber4-29274030,TaxNumber5-29274030,30,egistration-29274030,true,TrainStationName-29274030,TrainStationName-29274030,4030,030,30
r-29274031,4031,31,ser-29274031,2011-02-18,4031,31,CustomerFullName-29274031,BPCustomerFullName-29274031,CustomerName-29274031,BPCustomerName-29274031,31,31,31,31,31,31,031,031,031,031,031,1,31,false,r-29274031,p-29274031,s-29274031,4031,1-29274031,2-29274031,3-29274031,4-29274031,5-29274031,9274031,74031,1,31,4031,31,Number1-29274031,r2-29274031,axNumber3-29274031,axNumber4-29274031,TaxNumber5-29274031,31,egistration-29274031,false,TrainStationName-29274031,TrainStationName-29274031,4031,031,31
r-29274032,4032,32,ser-29274032,2013-11-14,4032,32,CustomerFullName-29274032,BPCustomerFullName-29274032,CustomerName-29274032,BPCustomerName-29274032,32,32,32,32,32,32,032,032,032,032,032,2,32,true,r-29274032,p-29274032,s-29274032,4032,1-29274032,2-29274032,3-29274032,4-29274032,5-29274032,9274032,74032,2,32,4032,32,Number1-29274032,r2-29274032,axNumber3-29274032,axNumber4-29274032,TaxNumber5-29274032,32,egistration-29274032,true,TrainStationName-29274032,TrainStationName-29274032,4032,032,32
r-29274033,4033,33,ser-29274033,2012-08-29,4033,33,CustomerFullName-29274033,BPCustomerFullName-29274033,CustomerName-29274033,BPCustomerName-29274033,33,33,33,33,33,33,033,033,033,033,033,3,33,false,r-29274033,p-29274033,s-29274033,4033,1-29274033,2-29274033,3-29274033,4-29274033,5-29274033,9274033,74033,3,33,4033,33,Number1-29274033,r2-29274033,axNumber3-29274033,axNumber4-29274033,TaxNumber5-29274033,33,egistration-29274033,false,TrainStationName-29274033,TrainStationName-29274033,4033,033,33
r-29274034,4034,34,ser-29274034,2021-01-20,4034,34,CustomerFullName-29274034,BPCustomerFullName-29274034,CustomerName-29274034,BPCustomerName-29274034,34,34,34,34,34,34,034,034,034,034,034,4,34,true,r-29274034,p-29274034,s-29274034,4034,1-29274034,2-29274034,3-29274034,4-29274034,5-29274034,9274034,74034,4,34,4034,34,Number1-29274034,r2-29274034,axNumber3-29274034,axNumber4-29274034,TaxNumber5-29274034,34,egistration-29274034,true,TrainStationName-29274034,TrainStationName-29274034,4034,034,34
r-29274035,4035,35,ser-29274035,2019-12-10,4035,35,CustomerFullName-29274035,BPCustomerFullName-29274035,CustomerName-29274035,BPCustomerName-29274035,35,35,35,35,35,35,035,035,035,035,035,5,35,false,r-29274035,p-29274035,s-29274035,4035,1-29274035,2-29274035,3-29274035,4-29274035,5-29274035,9274035,74035,5,35,4035,35,Number1-29274035,r2-29274035,axNumber3-29274035,axNumber4-29274035,TaxNumber5-29274035,35,egistration-29274035,false,TrainStationName-29274035,TrainStationName-29274035,4035,035,35
r-29274036,4036,36,ser-29274036,2015-09-17,4036,36,CustomerFullName-29274036,BPCustomerFullName-29274036,CustomerName-29274036,BPCustomerName-29274036,36,36,36,36,36,36,036,036,036,036,036,6,36,true,r-29274036,p-29274036,s-29274036,4036,1-29274036,2-29274036,3-29274036,4-29274036,5-29274036,9274036,74036,6,36,4036,36,Number1-29274036,r2-29274036,axNumber3-29274036,axNumber4-29274036,TaxNumber5-29274036,36,egistration-29274036,true,TrainStationName-29274036,TrainStationName-29274036,4036,036,36
