Supplier,AlternativePayeeAccountNumber,AuthorizationGroup,BusinessPartnerPanNumber,CreatedByUser,CreationDate,Customer,PaymentIsBlockedForSupplier,PostingIsBlocked,PurchasingIsBlocked,SupplierAccountGroup,SupplierFullName,SupplierName,VATRegistration,BirthDate,ConcatenatedInternationalLocNo,DeletionIndicator,FiscalAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,IsNaturalPerson,PaymentReason,ResponsibleType,SuplrQltyInProcmtCertfnValidTo,SuplrQualityManagementSystem,SupplierCorporateGroup,SupplierProcurementBlock,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberResponsible,TaxNumberType,SuplrProofOfDelivRlvtCode,BR_TaxIsSplit,DataExchangeInstructionKey,JP_SuplrAmtInCapitalAmount,JP_SupplierCapitalAmountCrcy
r-15680215,r-15680215,0215,BusinessPartnerPanNumber-15680215,ser-15680215,2002-01-20,r-15680215,false,false,false,0215,SupplierFullName-15680215,SupplierName-15680215,egistration-15680215,2010-11-08,tionalLocNo-15680215,false,s-15680215,0215,5680215,80215,5,5,0215,15,2001-03-07,0215,p-15680215,15,Number1-15680215,r2-15680215,axNumber3-15680215,axNumber4-15680215,TaxNumber5-15680215,sponsible-15680215,15,5,false,15,2725261719914.004,80215
r-16593926,r-16593926,3926,BusinessPartnerPanNumber-16593926,ser-16593926,2015-02-18,r-16593926,true,true,true,3926,SupplierFullName-16593926,SupplierName-16593926,egistration-16593926,2015-12-19,tionalLocNo-16593926,true,s-16593926,3926,6593926,93926,6,6,3926,26,2006-03-19,3926,p-16593926,26,Number1-16593926,r2-16593926,axNumber3-16593926,axNumber4-16593926,TaxNumber5-16593926,sponsible-16593926,26,6,true,26,8650315720516.213,93926
r-16593927,r-16593927,3927,BusinessPartnerPanNumber-16593927,ser-16593927,2008-06-15,r-16593927,false,false,false,3927,SupplierFullName-16593927,SupplierName-16593927,egistration-16593927,2006-02-27,tionalLocNo-16593927,false,s-16593927,3927,6593927,93927,7,7,3927,27,2004-12-08,3927,p-16593927,27,Number1-16593927,r2-16593927,axNumber3-16593927,axNumber4-16593927,TaxNumber5-16593927,sponsible-16593927,27,7,false,27,4784336848444.778,93927
r-16593928,r-16593928,3928,BusinessPartnerPanNumber-16593928,ser-16593928,2004-04-28,r-16593928,true,true,true,3928,SupplierFullName-16593928,SupplierName-16593928,egistration-16593928,2016-11-01,tionalLocNo-16593928,true,s-16593928,3928,6593928,93928,8,8,3928,28,2021-02-17,3928,p-16593928,28,Number1-16593928,r2-16593928,axNumber3-16593928,axNumber4-16593928,TaxNumber5-16593928,sponsible-16593928,28,8,true,28,5335206239560.772,93928
r-16593929,r-16593929,3929,BusinessPartnerPanNumber-16593929,ser-16593929,2008-12-28,r-16593929,false,false,false,3929,SupplierFullName-16593929,SupplierName-16593929,egistration-16593929,2023-09-28,tionalLocNo-16593929,false,s-16593929,3929,6593929,93929,9,9,3929,29,2021-11-30,3929,p-16593929,29,Number1-16593929,r2-16593929,axNumber3-16593929,axNumber4-16593929,TaxNumber5-16593929,sponsible-16593929,29,9,false,29,2227108925057.822,93929
r-16593930,r-16593930,3930,BusinessPartnerPanNumber-16593930,ser-16593930,2012-04-13,r-16593930,true,true,true,3930,SupplierFullName-16593930,SupplierName-16593930,egistration-16593930,2003-01-25,tionalLocNo-16593930,true,s-16593930,3930,6593930,93930,0,0,3930,30,2003-08-02,3930,p-16593930,30,Number1-16593930,r2-16593930,axNumber3-16593930,axNumber4-16593930,TaxNumber5-16593930,sponsible-16593930,30,0,true,30,7190181501689.31,93930
r-16593931,r-16593931,3931,BusinessPartnerPanNumber-16593931,ser-16593931,2013-07-08,r-16593931,false,false,false,3931,SupplierFullName-16593931,SupplierName-16593931,egistration-16593931,2021-06-24,tionalLocNo-16593931,false,s-16593931,3931,6593931,93931,1,1,3931,31,2012-06-04,3931,p-16593931,31,Number1-16593931,r2-16593931,axNumber3-16593931,axNumber4-16593931,TaxNumber5-16593931,sponsible-16593931,31,1,false,31,1841243329939.099,93931
r-16593932,r-16593932,3932,BusinessPartnerPanNumber-16593932,ser-16593932,2003-12-27,r-16593932,true,true,true,3932,SupplierFullName-16593932,SupplierName-16593932,egistration-16593932,2012-02-06,tionalLocNo-16593932,true,s-16593932,3932,6593932,93932,2,2,3932,32,2008-08-05,3932,p-16593932,32,Number1-16593932,r2-16593932,axNumber3-16593932,axNumber4-16593932,TaxNumber5-16593932,sponsible-16593932,32,2,true,32,8021251985644.989,93932
r-16593933,r-16593933,3933,BusinessPartnerPanNumber-16593933,ser-16593933,2008-09-14,r-16593933,false,false,false,3933,SupplierFullName-16593933,SupplierName-16593933,egistration-16593933,2004-10-20,tionalLocNo-16593933,false,s-16593933,3933,6593933,93933,3,3,3933,33,2016-11-16,3933,p-16593933,33,Number1-16593933,r2-16593933,axNumber3-16593933,axNumber4-16593933,TaxNumber5-16593933,sponsible-16593933,33,3,false,33,9460546925795.076,93933
r-16593934,r-16593934,3934,BusinessPartnerPanNumber-16593934,ser-16593934,2012-09-05,r-16593934,true,true,true,3934,SupplierFullName-16593934,SupplierName-16593934,egistration-16593934,2018-12-13,tionalLocNo-16593934,true,s-16593934,3934,6593934,93934,4,4,3934,34,2000-08-09,3934,p-16593934,34,Number1-16593934,r2-16593934,axNumber3-16593934,axNumber4-16593934,TaxNumber5-16593934,sponsible-16593934,34,4,true,34,8115483491532.79,93934
r-16593935,r-16593935,3935,BusinessPartnerPanNumber-16593935,ser-16593935,2010-03-26,r-16593935,false,false,false,3935,SupplierFullName-16593935,SupplierName-16593935,egistration-16593935,2022-08-03,tionalLocNo-16593935,false,s-16593935,3935,6593935,93935,5,5,3935,35,2009-03-02,3935,p-16593935,35,Number1-16593935,r2-16593935,axNumber3-16593935,axNumber4-16593935,TaxNumber5-16593935,sponsible-16593935,35,5,false,35,4376546864364.49,93935
r-16593936,r-16593936,3936,BusinessPartnerPanNumber-16593936,ser-16593936,2018-10-02,r-16593936,true,true,true,3936,SupplierFullName-16593936,SupplierName-16593936,egistration-16593936,2015-01-23,tionalLocNo-16593936,true,s-16593936,3936,6593936,93936,6,6,3936,36,2023-08-15,3936,p-16593936,36,Number1-16593936,r2-16593936,axNumber3-16593936,axNumber4-16593936,TaxNumber5-16593936,sponsible-16593936,36,6,true,36,115965497017.177,93936
r-16593937,r-16593937,3937,BusinessPartnerPanNumber-16593937,ser-16593937,2021-06-06,r-16593937,false,false,false,3937,SupplierFullName-16593937,SupplierName-16593937,egistration-16593937,2016-10-28,tionalLocNo-16593937,false,s-16593937,3937,6593937,93937,7,7,3937,37,2004-01-22,3937,p-16593937,37,Number1-16593937,r2-16593937,axNumber3-16593937,axNumber4-16593937,TaxNumber5-16593937,sponsible-16593937,37,7,false,37,6802235692248.112,93937
r-16593938,r-16593938,3938,BusinessPartnerPanNumber-16593938,ser-16593938,2008-05-01,r-16593938,true,true,true,3938,SupplierFullName-16593938,SupplierName-16593938,egistration-16593938,2011-05-03,tionalLocNo-16593938,true,s-16593938,3938,6593938,93938,8,8,3938,38,2005-11-25,3938,p-16593938,38,Number1-16593938,r2-16593938,axNumber3-16593938,axNumber4-16593938,TaxNumber5-16593938,sponsible-16593938,38,8,true,38,7814894095376.753,93938
r-16593939,r-16593939,3939,BusinessPartnerPanNumber-16593939,ser-16593939,2018-02-15,r-16593939,false,false,false,3939,SupplierFullName-16593939,SupplierName-16593939,egistration-16593939,2000-08-07,tionalLocNo-16593939,false,s-16593939,3939,6593939,93939,9,9,3939,39,2000-09-23,3939,p-16593939,39,Number1-16593939,r2-16593939,axNumber3-16593939,axNumber4-16593939,TaxNumber5-16593939,sponsible-16593939,39,9,false,39,8979397758756.744,93939
r-16593940,r-16593940,3940,BusinessPartnerPanNumber-16593940,ser-16593940,2019-04-27,r-16593940,true,true,true,3940,SupplierFullName-16593940,SupplierName-16593940,egistration-16593940,2018-05-30,tionalLocNo-16593940,true,s-16593940,3940,6593940,93940,0,0,3940,40,2003-02-02,3940,p-16593940,40,Number1-16593940,r2-16593940,axNumber3-16593940,axNumber4-16593940,TaxNumber5-16593940,sponsible-16593940,40,0,true,40,7040986705133.225,93940
r-16593941,r-16593941,3941,BusinessPartnerPanNumber-16593941,ser-16593941,2007-10-10,r-16593941,false,false,false,3941,SupplierFullName-16593941,SupplierName-16593941,egistration-16593941,2010-11-19,tionalLocNo-16593941,false,s-16593941,3941,6593941,93941,1,1,3941,41,2012-06-02,3941,p-16593941,41,Number1-16593941,r2-16593941,axNumber3-16593941,axNumber4-16593941,TaxNumber5-16593941,sponsible-16593941,41,1,false,41,4328870932677.508,93941
r-16593942,r-16593942,3942,BusinessPartnerPanNumber-16593942,ser-16593942,2001-07-03,r-16593942,true,true,true,3942,SupplierFullName-16593942,SupplierName-16593942,egistration-16593942,2004-01-02,tionalLocNo-16593942,true,s-16593942,3942,6593942,93942,2,2,3942,42,2000-11-09,3942,p-16593942,42,Number1-16593942,r2-16593942,axNumber3-16593942,axNumber4-16593942,TaxNumber5-16593942,sponsible-16593942,42,2,true,42,8394511670789.143,93942
r-16593943,r-16593943,3943,BusinessPartnerPanNumber-16593943,ser-16593943,2001-11-13,r-16593943,false,false,false,3943,SupplierFullName-16593943,SupplierName-16593943,egistration-16593943,2005-02-02,tionalLocNo-16593943,false,s-16593943,3943,6593943,93943,3,3,3943,43,2001-10-11,3943,p-16593943,43,Number1-16593943,r2-16593943,axNumber3-16593943,axNumber4-16593943,TaxNumber5-16593943,sponsible-16593943,43,3,false,43,1776802947874.901,93943
