ID,invoice_ID,fileName,fileSize,mimeType,uploadedBy,createdAt,createdBy,modifiedAt,modifiedBy
26638857-c139-4aeb-b466-82690548f857,31601271-77e4-40ea-be4a-f8722d3f4961,fileName-26638857,60,mimeType-26638857,uploadedBy-26638857,2006-02-11T00:00:00.000Z,createdBy.fuyo9@example.net,2014-04-19T00:00:00.000Z,modifiedBy.fuyo9@example.org
26638858-c3a7-43ac-bbdc-8bb344a5e612,31601271-77e4-40ea-be4a-f8722d3f4961,fileName-26638858,18,mimeType-26638858,uploadedBy-26638858,2011-10-09T00:00:00.000Z,createdBy.fuyoa@example.org,2014-05-05T00:00:00.000Z,modifiedBy.fuyoa@example.com
17873500-8f13-4de8-abc2-45864fbe14ed,31601272-3fd8-4a05-9de4-8ec7bd4f5e62,fileName-17873500,61,mimeType-17873500,uploadedBy-17873500,2010-10-28T00:00:00.000Z,createdBy.an3a4@example.com,2001-06-04T00:00:00.000Z,modifiedBy.an3a4@example.com
17873501-51e4-44f3-a318-16fe0022e9dc,31601272-3fd8-4a05-9de4-8ec7bd4f5e62,fileName-17873501,58,mimeType-17873501,uploadedBy-17873501,2020-06-27T00:00:00.000Z,createdBy.an3a5@example.org,2010-12-01T00:00:00.000Z,modifiedBy.an3a5@example.net
20164089-59f4-4466-819d-cd6ed39671b1,62094496-467c-452a-9fa0-6a07b3a55451,fileName-20164089,26,mimeType-20164089,uploadedBy-20164089,2023-09-11T00:00:00.000Z,createdBy.c06pl@example.com,2016-08-31T00:00:00.000Z,modifiedBy.c06pl@example.net
20164090-96aa-4627-91d8-403d4cea5c38,62094496-467c-452a-9fa0-6a07b3a55451,fileName-20164090,16,mimeType-20164090,uploadedBy-20164090,2013-12-17T00:00:00.000Z,createdBy.c06pm@example.net,2013-08-08T00:00:00.000Z,modifiedBy.c06pm@example.com
9682223e-059f-4e5c-b21f-cc726ec70e56,62094544-67e5-4996-ac57-029c1a96fc05,fileName-9682223,9,mimeType-9682223,uploadedBy-9682223,2022-02-04T00:00:00.000Z,createdBy.5riun@example.org,2015-03-03T00:00:00.000Z,modifiedBy.5riun@example.org
96822248-d01a-47bf-8ff6-2e5cbd1b837b,62094544-67e5-4996-ac57-029c1a96fc05,fileName-9682224,25,mimeType-9682224,uploadedBy-9682224,2016-01-12T00:00:00.000Z,createdBy.5riuo@example.net,2006-08-08T00:00:00.000Z,modifiedBy.5riuo@example.org
26095214-2d08-4157-9253-bf74e4071af1,6209467c-b6f6-4310-a25c-6340c677613d,fileName-26095214,14,mimeType-26095214,uploadedBy-26095214,2012-01-02T00:00:00.000Z,createdBy.fjb72@example.net,2020-03-22T00:00:00.000Z,modifiedBy.fjb72@example.net
26095215-9f23-499d-8ae7-12267fbf833a,6209467c-b6f6-4310-a25c-6340c677613d,fileName-26095215,13,mimeType-26095215,uploadedBy-26095215,2013-01-07T00:00:00.000Z,createdBy.fjb73@example.org,2023-12-09T00:00:00.000Z,modifiedBy.fjb73@example.net
15024628-45c2-4546-86fc-4292de03225e,620947f3-0378-4ad7-ac44-25726dd9acb2,fileName-15024628,78,mimeType-15024628,uploadedBy-15024628,2004-01-28T00:00:00.000Z,createdBy.8y12s@example.net,2017-12-03T00:00:00.000Z,modifiedBy.8y12s@example.net
15024629-2aae-4867-8a99-8853f1208c2a,620947f3-0378-4ad7-ac44-25726dd9acb2,fileName-15024629,70,mimeType-15024629,uploadedBy-15024629,2005-10-08T00:00:00.000Z,createdBy.8y12t@example.net,2023-07-27T00:00:00.000Z,modifiedBy.8y12t@example.org
